County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,240245,47997,41877,500,447,53
Linn,103400,18524,16589,293,266,27
Scott,76507,16247,14397,182,172,10
Johnson,70418,12478,11210,62,58,4
Black Hawk,63213,14379,12878,261,246,15
Woodbury,53056,13260,12291,197,183,14
Dubuque,51502,11830,10595,176,167,9
Story,49562,9011,8096,40,35,5
Dallas,47381,9338,8063,78,67,11
Pottawattamie,42622,9335,8351,126,112,14
Warren,24519,4753,3886,59,55,4
Cerro Gordo,21444,4814,4330,74,62,12
Webster,19628,4770,4445,81,69,12
Clinton,19521,4699,4153,72,65,7
Muscatine,19044,4012,3556,83,75,8
Des Moines,18852,4042,3538,53,46,7
Marshall,18632,4385,4060,68,63,5
Jasper,15767,3405,2901,63,59,4
Wapello,15263,3595,3081,100,98,2
Sioux,14214,4630,4333,62,59,3
Lee,14175,3367,2908,42,32,10
Marion,13749,3188,2767,59,51,8
Buena Vista,13611,4006,3723,35,32,3
Boone,12082,2285,1963,24,22,2
Plymouth,11996,3565,3317,72,65,7
Benton,11123,2178,1956,51,41,10
Bremer,10828,2537,2287,51,45,6
Washington,10519,2277,1941,39,37,2
Carroll,10286,2595,2377,43,37,6
Henry,9831,2717,2454,33,33,0
Dickinson,9271,1910,1707,32,29,3
Mahaska,9249,2026,1738,40,36,4
Pending Investigation,8847,1066,726,0,0,0
Jones,8842,2784,2590,53,50,3
Winneshiek,8809,1653,1379,24,20,4
Buchanan,8347,1653,1457,24,22,2
Fayette,8165,1695,1432,26,23,3
Jackson,8013,1993,1767,35,32,3
Cedar,7998,1592,1397,20,19,1
Crawford,7940,2386,2126,31,28,3
Poweshiek,7795,1389,1210,27,25,2
Tama,7591,1939,1730,61,59,2
Clay,7413,1755,1545,23,18,5
Hardin,7398,1606,1455,33,30,3
Wright,7254,1689,1533,28,24,4
Iowa,7218,1313,1144,23,21,2
Delaware,7053,1790,1614,37,33,4
Mills,6999,1401,1292,17,16,1
Kossuth,6955,1854,1545,49,44,5
Floyd,6835,1434,1277,38,30,8
Madison,6695,1296,997,12,10,2
Jefferson,6682,1237,1038,29,26,3
Hamilton,6650,1647,1482,36,35,1
Butler,6265,1536,1296,29,26,3
Clayton,6192,1557,1396,51,43,8
Union,5950,1145,1018,27,24,3
O'Brien,5945,1724,1561,58,54,4
Harrison,5869,1612,1402,65,61,4
Cass,5620,1180,1020,45,43,2
Winnebago,5440,1247,1092,30,25,5
Page,5436,1515,1378,17,16,1
Cherokee,5349,1409,1240,31,26,5
Allamakee,5335,1329,1164,37,32,5
Appanoose,5298,1145,968,43,41,2
Hancock,5276,1345,1181,25,20,5
Grundy,5180,1242,1109,28,23,5
Guthrie,5001,1057,950,27,22,5
Mitchell,4959,1179,1036,39,38,1
Louisa,4860,1181,1057,33,27,6
Calhoun,4806,1248,1173,9,9,0
Chickasaw,4777,1150,1060,12,11,1
Sac,4775,1142,1036,17,17,0
Shelby,4715,1099,932,29,28,1
Franklin,4580,1056,909,19,18,1
Emmet,4508,1114,987,35,34,1
Humboldt,4269,1085,973,20,17,3
Clarke,4237,850,697,13,13,0
Lyon,4116,1396,1248,35,31,4
Palo Alto,3991,935,824,16,15,1
Montgomery,3943,921,754,30,29,1
Howard,3921,903,730,20,16,4
Greene,3692,702,650,8,8,0
Keokuk,3621,868,790,28,28,0
Lucas,3358,677,590,12,10,2
Monona,3352,723,546,21,20,1
Worth,3270,628,540,4,3,1
Adair,3207,706,602,24,19,5
Pocahontas,3162,791,720,17,17,0
Decatur,3048,509,443,5,5,0
Monroe,2979,836,687,26,21,5
Ida,2880,781,674,30,29,1
Davis,2858,713,638,23,22,1
Fremont,2391,531,470,8,6,2
Van Buren,2390,513,446,16,13,3
Taylor,2279,612,548,11,9,2
Audubon,2277,433,376,8,8,0
Osceola,2180,654,607,12,10,2
Ringgold,2126,466,367,12,11,1
Wayne,1974,426,370,21,17,4
Adams,1407,308,273,3,3,0
