County,Series Initiated,Series Completed
Polk,53516,25364
Linn,22070,12298
Johnson,20073,14988
Scott,16458,7053
Black Hawk,15484,5966
Dubuque,10091,6651
Pottawattamie,9882,6284
Woodbury,8916,5354
Story,7745,4644
Dallas,6370,2781
Cerro Gordo,6132,2762
Des Moines,4350,1910
Webster,3642,1938
Warren,3633,1640
Jasper,3268,1938
Clinton,3057,1377
Plymouth,2795,387
Lee,2622,1611
Sioux,2555,1085
Marion,2522,998
Bremer,2472,2582
Wapello,2449,1382
Marshall,2425,929
Muscatine,2031,984
Jackson,2004,508
Boone,1958,1566
Tama,1955,411
Clay,1833,1778
Benton,1792,882
Clayton,1783,517
Kossuth,1772,343
Fayette,1771,521
Winneshiek,1768,786
Washington,1764,419
Carroll,1739,1662
Poweshiek,1733,427
Iowa,1694,354
Dickinson,1690,625
Mahaska,1641,358
Buena Vista,1599,611
Cedar,1592,524
Buchanan,1580,642
Floyd,1559,336
Henry,1536,644
Hamilton,1499,532
Madison,1484,331
Butler,1476,200
Page,1475,792
Crawford,1438,441
Jones,1363,618
Jefferson,1358,503
Allamakee,1320,400
Cass,1282,602
Hardin,1268,609
O'Brien,1227,702
Shelby,1222,496
Harrison,1222,199
Grundy,1147,463
Sac,1125,230
Mills,1115,539
Union,1072,414
Mitchell,1018,238
Wright,1013,525
Franklin,997,257
Delaware,994,640
Cherokee,976,570
Calhoun,940,453
Guthrie,924,332
Louisa,924,133
Lyon,889,201
Winnebago,876,249
Hancock,867,334
Appanoose,855,373
Taylor,807,97
Davis,765,167
Chickasaw,755,219
Monroe,730,202
Lucas,727,180
Emmet,673,258
Montgomery,665,373
Monona,656,259
Ringgold,649,217
Greene,646,284
Wayne,630,395
Out of State,612,3219
Worth,611,90
Palo Alto,604,445
Fremont,588,126
Howard,582,248
Pocahontas,572,141
Ida,568,246
Humboldt,566,319
Audubon,553,323
Van Buren,530,130
Adair,525,148
Decatur,487,225
Osceola,477,160
Clarke,472,240
Adams,466,125
Keokuk,445,228
