County,Number of Doses
Polk,783902
Linn,362037
Johnson,263417
Scott,225910
Black Hawk,184919
Dubuque,150945
Dallas,150770
Story,148782
Woodbury,122258
Pottawattamie,116578
Warren,73628
Cerro Gordo,63236
Marshall,58822
Clinton,57892
Muscatine,57156
Jasper,51554
Webster,48046
Des Moines,47417
Marion,40740
Boone,40211
Wapello,38408
Lee,38078
Bremer,36129
Benton,35263
Sioux,32076
Winneshiek,30987
Plymouth,29731
Washington,29415
Carroll,29212
Jones,28949
Buchanan,27139
Buena Vista,26927
Poweshiek,26834
Cedar,26646
Fayette,25929
Jackson,25458
Henry,24434
Dickinson,24376
Iowa,24205
Tama,23944
Mahaska,22778
Hamilton,22101
Hardin,22097
Delaware,21814
Madison,21085
Jefferson,20715
Clay,20440
Butler,20299
Floyd,20111
Crawford,19962
Page,19115
Clayton,19012
Kossuth,18392
Cass,18097
Grundy,17993
Mills,17561
Wright,16670
Allamakee,16293
Shelby,16285
O'Brien,16283
Harrison,15604
Chickasaw,15457
Union,15210
Guthrie,15001
Cherokee,14295
Appanoose,13854
Calhoun,13774
Montgomery,12838
Mitchell,12754
Franklin,12734
Winnebago,12666
Louisa,12443
Hancock,12376
Sac,12210
Greene,12121
Clarke,11524
Emmet,11209
Humboldt,11192
Howard,11170
Keokuk,11080
Palo Alto,10751
Monona,10515
Lyon,9827
Worth,9336
Lucas,9238
Adair,8593
Monroe,8325
Pocahontas,8269
Ida,7825
Audubon,7785
Davis,7734
Decatur,7632
Fremont,7299
Taylor,6964
Van Buren,6928
Ringgold,6618
Wayne,6587
Osceola,6282
Adams,4903
.,164
