County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,247824,49953,45135,524,468,56
Linn,106137,19085,17410,305,278,27
Scott,78267,16727,15305,196,184,12
Johnson,72113,12812,11966,68,63,5
Black Hawk,64725,14696,13520,275,259,16
Woodbury,54279,13460,12809,205,191,14
Dubuque,52526,12121,11165,187,176,11
Story,50756,9273,8608,43,38,5
Dallas,48852,9782,8785,85,74,11
Pottawattamie,43556,9597,8852,139,124,15
Warren,25268,4945,4358,67,63,4
Cerro Gordo,22032,4922,4577,79,67,12
Clinton,20137,4857,4439,80,72,8
Webster,19978,4845,4610,83,70,13
Muscatine,19453,4093,3789,87,78,9
Des Moines,19343,4157,3774,55,48,7
Marshall,19240,4527,4204,69,63,6
Jasper,16272,3564,3154,65,61,4
Wapello,16124,3805,3369,105,102,3
Lee,14560,3457,3118,47,35,12
Sioux,14558,4692,4488,67,64,3
Marion,14211,3305,3000,66,58,8
Buena Vista,13843,4042,3893,36,33,3
Boone,12402,2364,2147,27,25,2
Plymouth,12237,3611,3428,75,67,8
Benton,11414,2276,2038,53,43,10
Bremer,11114,2609,2406,53,47,6
Washington,10791,2339,2132,41,39,2
Carroll,10475,2625,2498,47,39,8
Henry,10059,2764,2612,35,35,0
Mahaska,9505,2111,1877,44,39,5
Dickinson,9479,1968,1815,37,31,6
Winneshiek,9180,1757,1528,26,22,4
Jones,9090,2823,2652,54,50,4
Pending Investigation,8815,1139,892,0,0,0
Buchanan,8569,1719,1570,26,24,2
Fayette,8425,1745,1581,31,28,3
Jackson,8213,2058,1880,37,34,3
Cedar,8196,1628,1498,20,19,1
Crawford,8129,2450,2258,35,31,4
Poweshiek,8085,1449,1307,29,27,2
Tama,7775,1975,1810,63,61,2
Clay,7625,1809,1642,25,20,5
Hardin,7596,1650,1520,34,31,3
Wright,7386,1704,1611,31,26,5
Iowa,7368,1352,1227,23,21,2
Delaware,7245,1837,1687,38,33,5
Kossuth,7170,1923,1703,52,46,6
Mills,7140,1457,1345,20,17,3
Jefferson,7028,1262,1183,31,27,4
Floyd,6990,1461,1349,38,30,8
Madison,6947,1359,1190,16,12,4
Hamilton,6835,1703,1553,38,37,1
Butler,6429,1562,1451,30,27,3
Clayton,6356,1577,1476,53,45,8
O'Brien,6115,1765,1637,58,54,4
Union,6071,1168,1060,31,26,5
Harrison,5984,1645,1482,68,64,4
Cass,5792,1231,1084,47,45,2
Page,5590,1624,1503,17,16,1
Winnebago,5559,1271,1161,30,25,5
Allamakee,5505,1373,1238,41,35,6
Appanoose,5468,1189,1060,46,43,3
Cherokee,5441,1423,1349,35,29,6
Hancock,5386,1357,1272,27,22,5
Grundy,5304,1286,1188,30,25,5
Guthrie,5104,1071,1000,28,23,5
Mitchell,5027,1186,1132,40,38,2
Louisa,4956,1195,1112,41,34,7
Calhoun,4906,1266,1214,9,9,0
Chickasaw,4887,1173,1111,13,12,1
Sac,4875,1154,1091,17,17,0
Shelby,4860,1124,988,32,29,3
Franklin,4713,1081,997,19,18,1
Emmet,4615,1132,1057,39,37,2
Clarke,4439,905,767,20,20,0
Humboldt,4367,1109,1021,22,19,3
Lyon,4227,1423,1322,40,36,4
Palo Alto,4095,978,889,19,17,2
Howard,4090,963,811,20,16,4
Montgomery,4082,953,822,36,34,2
Greene,3764,717,683,10,10,0
Keokuk,3757,898,821,29,29,0
Lucas,3456,689,638,18,15,3
Monona,3443,752,662,23,22,1
Worth,3356,648,602,4,3,1
Adair,3285,762,664,25,19,6
Decatur,3231,535,484,8,8,0
Pocahontas,3221,804,757,18,18,0
Monroe,3074,869,790,27,21,6
Davis,2999,742,674,23,22,1
Ida,2976,800,707,32,30,2
Van Buren,2476,530,483,17,14,3
Fremont,2435,540,503,9,7,2
Audubon,2375,454,402,9,8,1
Taylor,2339,627,589,11,9,2
Osceola,2222,660,626,13,11,2
Ringgold,2194,490,438,16,15,1
Wayne,2014,437,394,21,17,4
Adams,1450,316,295,3,3,0
