RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19013,89211,13955,35654,3950
19019,14105,1577,6047,431
19081,6474,758,2704,308
19153,316652,74524,117259,7656
19147,5911,685,2543,138
19191,14943,2162,6108,561
19169,63914,16138,23196,1397
19109,10235,1038,4399,403
19127,25454,4984,9168,2134
19139,26751,4549,9533,3134
19193,58142,8489,23386,2883
19103,126840,22197,50591,3473
19091,6174,565,2661,288
19101,10137,1298,4165,510
19123,10813,1697,4287,542
19083,11457,1251,4762,679
19045,27020,4378,10845,955
19149,15440,1627,5993,1827
19161,6638,814,2796,231
19049,61055,15265,22136,1536
19179,18335,2656,6905,1871
19163,102139,14862,41958,3358
19121,9868,1871,3908,181
19033,31007,4373,12796,1041
19171,11971,1825,4734,685
19141,9162,876,3945,394
19047,9862,1347,3688,1142
19055,11023,1512,4426,658
19043,11500,1091,4977,453
19187,23452,3612,9492,855
19021,12469,1627,4136,2571
19093,3946,426,1625,267
19197,8640,833,3536,731
19125,19215,3098,7177,1759
19035,7780,975,3260,284
19025,7298,1065,3018,196
19037,7949,977,3223,530
19009,4367,447,1908,105
19185,3435,429,1439,127
19039,5633,579,2233,588
19095,12005,2115,4701,483
19087,10796,1529,4437,392
19155,49748,7833,20109,1687
19113,161936,30279,62616,6419
19041,10407,1554,4313,225
19137,6600,826,2675,425
19071,4004,520,1669,146
19053,3953,403,1689,169
19015,18912,3024,7754,391
19061,77679,12569,32045,1027
19057,22662,3128,9484,572
19011,16960,2327,6963,705
19073,5971,919,2357,338
19079,10780,1598,4330,521
19167,17396,2190,6915,1377
19111,18432,2603,7487,850
19175,7538,1158,3136,111
19075,9434,1315,3920,281
19003,2509,308,1086,28
19031,13385,1935,5484,482
19017,18671,2474,7692,814
19189,6667,924,2649,444
19157,12465,2611,4795,262
19195,4619,684,1910,118
19005,8845,826,3953,115
19181,32469,6827,12475,686
19029,9710,1074,4207,220
19099,22384,3961,8814,798
19165,8605,1325,3574,140
19129,8514,1459,3429,199
19085,8329,1343,3361,267
19059,12965,2124,5353,143
19007,7253,766,3098,291
19027,15162,2698,5852,759
19097,12804,1783,5399,224
19051,4139,501,1779,81
19133,5877,629,2557,132
19063,6208,785,2597,229
19131,6872,559,3131,51
19105,13360,2138,5257,709
19115,6103,783,2213,890
19159,3348,390,1466,25
19119,5634,705,2406,118
19183,14371,2505,5696,475
19067,10026,1308,4239,239
19117,4537,657,1800,280
19065,14054,1413,6108,428
19145,9607,1160,4037,371
19107,5751,725,2406,214
19023,10861,1273,4661,266
19089,5452,828,2154,316
19173,3916,330,1777,36
19069,6710,712,2873,253
19077,7585,1037,3166,216
19001,4441,499,1869,209
19135,4345,581,1769,224
19151,4345,686,1747,164
19177,3478,532,1410,126
19143,3435,464,1418,136
,69,19,22,6
