County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,42140,189744,8970,430506
Linn,17322,95684,7273,214652
Johnson,11134,74667,3431,163487
Scott,9903,64518,4744,144969
Story,8435,38609,1951,86676
Black Hawk,7073,55944,5155,124419
Dallas,6823,33598,1721,74414
Pottawattamie,6017,35839,4527,83158
Dubuque,4854,52340,1643,110982
Woodbury,4783,35990,4170,80520
Cerro Gordo,2678,21115,1323,46294
Clinton,2566,12734,1179,29293
Warren,2554,13921,700,30908
Webster,2237,14053,954,31533
Des Moines,2156,15063,597,32906
Marshall,2042,10538,2548,25598
Muscatine,1988,10836,4290,28073
Jasper,1927,11137,759,24776
Wapello,1404,9999,475,21986
Bremer,1347,10459,1054,23305
Boone,1244,9343,397,20261
Page,1234,5488,645,12868
Poweshiek,1216,7482,195,16330
Marion,1199,10313,3816,25780
Lee,1177,10076,1323,22914
Tama,1123,6516,956,15068
Jones,1115,4698,708,11267
Winneshiek,981,6536,795,14865
Jefferson,944,6085,817,13939
Washington,908,5969,454,13311
Henry,906,6145,1367,14616
Sioux,899,8659,2473,20706
Buena Vista,806,5681,3176,15433
Mahaska,800,6344,343,13879
Carroll,780,8420,942,18706
Mills,737,4673,100,10202
Benton,685,6613,399,14306
Fayette,669,9171,848,19879
Emmet,654,4234,319,9542
Clay,637,7274,130,15278
Madison,619,6116,120,13015
Cass,600,9354,301,19821
Dickinson,567,6759,168,14262
Floyd,556,5515,848,12449
Calhoun,509,3612,142,7896
Kossuth,489,5188,381,11299
Plymouth,479,6227,2822,15791
Hamilton,478,6130,374,13261
Union,469,4156,180,8874
Allamakee,469,5081,74,10708
Buchanan,436,5506,233,11674
Grundy,433,4020,247,8726
Delaware,431,3969,672,9019
Jackson,428,7255,180,15103
Harrison,420,3013,204,6660
Hardin,416,5436,1212,12554
Crawford,416,5302,1501,12546
Mitchell,411,3818,82,8147
Cedar,402,5612,238,11841
Appanoose,395,3769,426,8447
Guthrie,392,3724,195,8051
Wright,388,4146,1547,10208
O'Brien,377,4649,261,9945
Montgomery,377,2778,524,6487
Hancock,376,2552,600,6080
Cherokee,364,4161,206,8898
Greene,359,3908,426,8675
Shelby,353,5190,80,10860
Clarke,335,3620,1310,8895
Iowa,327,5196,510,11245
Clayton,322,5659,615,12293
Humboldt,301,3594,332,7960
Monona,293,1757,116,3910
Winnebago,288,3469,422,7672
Lyon,281,2709,42,5736
Out of State,250,4254,0,8448
Butler,246,3605,113,7576
Wayne,241,2712,346,6105
Lucas,231,2994,348,6661
Louisa,229,2938,1498,7581
Monroe,220,2802,223,6076
Franklin,219,3151,204,6735
Palo Alto,218,3027,115,6421
Decatur,205,2639,105,5677
Adair,195,1971,295,4362
Chickasaw,181,2575,298,5623
Davis,180,2977,1620,7783
Howard,179,1886,135,4070
Worth,156,1531,0,3214
Sac,152,3132,34,6466
Ringgold,146,1866,1,3925
Ida,144,1426,457,3452
Taylor,135,2063,9,4293
Fremont,127,1473,78,3150
Pocahontas,122,1727,140,3718
Van Buren,122,1331,88,2873
Adams,117,1556,2,3404
Keokuk,114,1445,100,3104
Osceola,93,1356,129,2934
Audubon,73,1875,101,3921
