County,Series Initiated,Series Completed
Polk,49397,39858
Linn,25371,18587
Johnson,22391,19826
Scott,20111,9662
Black Hawk,18655,9762
Woodbury,12954,6157
Dubuque,11437,9976
Story,10480,5892
Pottawattamie,10018,8486
Cerro Gordo,7747,3578
Dallas,7703,4670
Des Moines,4742,3116
Clinton,4444,1555
Warren,4244,2573
Webster,4150,2520
Wapello,3392,1640
Muscatine,3369,1061
Bremer,3357,2936
Plymouth,3356,390
Lee,3299,1988
Marshall,3276,1236
Sioux,3146,1560
Marion,3144,1267
Jasper,2981,3096
Boone,2759,1853
Poweshiek,2528,465
Tama,2500,679
Fayette,2429,707
Jackson,2428,829
Dickinson,2401,877
Clayton,2366,735
Washington,2290,539
Floyd,2254,412
Page,2253,866
Mahaska,2220,643
Benton,2214,1101
Clay,2208,2093
Buena Vista,2161,725
Kossuth,2157,671
Iowa,2150,475
Cedar,2150,714
Winneshiek,2141,1024
Buchanan,2126,763
Carroll,1969,1849
Cass,1915,664
Madison,1874,553
Jones,1869,720
Hamilton,1869,660
Crawford,1833,626
Henry,1750,763
Jefferson,1720,656
Allamakee,1676,567
Grundy,1553,524
Butler,1549,574
Hardin,1537,1029
O'Brien,1516,1008
Mills,1513,725
Shelby,1447,786
Sac,1418,254
Louisa,1418,193
Appanoose,1411,492
Mitchell,1408,332
Cherokee,1383,607
Union,1344,521
Franklin,1260,312
Chickasaw,1203,326
Delaware,1194,908
Guthrie,1182,463
Harrison,1180,446
Wright,1154,642
Calhoun,1154,556
Hancock,1146,369
Davis,1097,210
Lyon,1079,331
Wayne,1018,397
Winnebago,1003,441
Lucas,1000,269
Greene,994,348
Emmet,937,423
Montgomery,895,530
Palo Alto,891,537
Taylor,876,288
Monroe,853,438
Monona,781,363
Decatur,767,241
Pocahontas,763,150
Humboldt,752,486
Adair,728,216
Audubon,688,328
Ringgold,672,400
Worth,637,257
Osceola,632,195
Keokuk,601,280
Clarke,597,327
Howard,577,388
Van Buren,551,182
Fremont,537,428
Adams,532,251
Ida,500,416
Out of State,266,3621
