County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,47797,179911,8442,416033
Linn,17778,93112,7159,209844
Johnson,11202,72636,3339,159372
Story,9989,36380,1852,83675
Scott,9593,63246,4579,141962
Dallas,8558,30721,1654,70370
Black Hawk,7400,54617,4987,121927
Pottawattamie,7271,33922,4494,80554
Dubuque,4961,51519,1507,109315
Woodbury,4692,35599,4095,79576
Cerro Gordo,3041,20419,1273,45220
Warren,2764,13540,632,30278
Clinton,2668,12418,1147,28732
Marshall,2651,9817,2548,24761
Jasper,2418,10486,576,23785
Webster,2296,13822,923,31100
Muscatine,2274,10382,4218,27376
Des Moines,2229,14838,592,32517
Marion,1454,9916,3777,25200
Boone,1426,9087,360,19891
Lee,1411,9756,1279,22464
Bremer,1402,10299,1033,23005
Wapello,1385,9825,468,21603
Page,1231,5406,632,12705
Poweshiek,1225,7327,195,16026
Henry,1215,5800,1212,14079
Winneshiek,1209,6182,752,14353
Jones,1192,4603,662,11107
Tama,1169,6356,944,14769
Carroll,1098,8033,882,18176
Sioux,1030,8451,2462,20409
Jefferson,1017,5897,804,13624
Washington,979,5766,403,12929
Fayette,882,8898,845,19549
Mahaska,847,6236,318,13681
Jackson,838,6783,154,14547
Benton,790,6451,382,14072
Buena Vista,784,5593,3176,15238
Mills,768,4526,100,9941
Hamilton,734,5807,363,12853
Madison,692,5956,115,12757
Dickinson,669,6574,163,13994
Emmet,667,4180,309,9436
Delaware,653,3718,666,8733
Floyd,620,5374,806,12185
Clay,613,7210,110,15103
Harrison,598,2814,202,6435
Allamakee,580,4964,65,10571
Cass,559,9306,286,19664
Cedar,544,5422,231,11596
Iowa,533,4933,499,10914
Calhoun,521,3593,135,7862
Kossuth,512,5134,381,11215
Guthrie,506,3602,192,7911
Buchanan,504,5403,219,11524
Union,502,4078,170,8734
Plymouth,466,6199,2808,15708
Grundy,464,3975,242,8662
Crawford,460,5204,1496,12389
Montgomery,419,2693,518,6354
Wright,418,4094,1532,10118
Mitchell,415,3818,82,8147
Appanoose,410,3723,420,8364
Cherokee,407,4068,194,8743
Hardin,403,5394,1199,12433
Monona,400,1648,116,3799
Hancock,379,2546,593,6064
O'Brien,378,4586,251,9811
Shelby,371,5127,74,10747
Clarke,368,3573,1305,8822
Clayton,362,5617,611,12240
Greene,355,3869,417,8584
Humboldt,304,3542,328,7856
Winnebago,303,3417,419,7578
Lucas,297,2925,334,6566
Chickasaw,297,2433,298,5456
Lyon,292,2697,27,5708
Louisa,291,2861,1499,7491
Howard,286,1764,114,3912
Franklin,274,3073,197,6626
Butler,271,3577,113,7545
Pocahontas,264,1561,130,3519
Wayne,251,2689,338,6060
Out of State,250,4254,0,8447
Palo Alto,247,2968,100,6319
Decatur,241,2583,105,5597
Monroe,241,2739,215,5963
Adair,215,1937,293,4318
Davis,188,2952,1618,7738
Keokuk,187,1372,100,3031
Ida,177,1381,455,3393
Ringgold,174,1835,1,3888
Van Buren,171,1280,84,2816
Sac,170,3115,32,6447
Worth,164,1517,0,3195
Taylor,152,2043,6,4268
Osceola,136,1312,129,2889
Adams,118,1545,1,3380
Fremont,117,1471,78,3138
Audubon,75,1874,101,3920
