County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,697435,64245,54410,619,546,73
Linn,293281,22003,19640,333,297,36
Black Hawk,214967,17181,15062,307,284,23
Scott,212204,21062,18115,239,217,22
Johnson,211998,15216,13583,83,77,6
Dubuque,191594,14569,12638,207,191,16
Story,162595,11268,10089,48,42,6
Woodbury,147107,16354,14453,228,209,19
Dallas,128698,12398,10652,97,84,13
Pottawattamie,120720,12087,10315,166,146,20
Marshall,82788,5171,4684,75,67,8
Warren,77658,6193,5341,88,78,10
Cerro Gordo,76905,5744,5048,89,74,15
Webster,68677,5391,4962,92,77,15
Clinton,63765,5966,5164,92,79,13
Des Moines,56452,4848,4313,66,55,11
Muscatine,55815,5035,4407,99,90,9
Lee,54038,3948,3612,55,42,13
Jasper,52127,4461,3986,70,65,5
Wapello,47279,4630,4109,122,118,4
Sioux,45998,5285,4916,74,70,4
Buena Vista,45342,4885,4156,40,36,4
Poweshiek,44763,1615,1489,33,30,3
Boone,44567,2804,2505,34,31,3
Marion,42570,3792,3469,75,64,11
Washington,41625,2679,2407,50,46,4
Winneshiek,40176,2042,1875,33,28,5
Bremer,39521,2958,2708,60,51,9
Plymouth,38486,4299,3828,79,71,8
Benton,37424,2704,2432,55,44,11
Carroll,36716,3047,2717,52,43,9
Fayette,36514,1923,1788,41,36,5
Henry,36381,3034,2808,37,36,1
Hardin,35111,1971,1728,43,34,9
Tama,32818,2210,1983,71,67,4
Cedar,31419,1972,1783,23,21,2
Buchanan,31342,2005,1826,31,26,5
Mahaska,30911,2390,2149,50,45,5
Clay,30838,2252,2020,25,20,5
Iowa,29897,1540,1422,24,22,2
Butler,29665,1724,1577,34,30,4
Delaware,28684,2122,1933,39,35,4
Crawford,27928,2877,2565,40,35,5
Dickinson,26980,2661,2288,43,37,6
Kossuth,26445,2262,2035,64,56,8
Jones,26428,3078,2853,57,51,6
O'Brien,26272,2139,1880,60,55,5
Jackson,25877,2331,2119,42,39,3
Floyd,25851,1767,1492,42,32,10
Clayton,25221,1771,1585,56,47,9
Hamilton,23515,1978,1724,49,45,4
Hancock,21562,1557,1381,34,27,7
Harrison,21546,1924,1654,73,69,4
Page,21473,1981,1860,21,19,2
Mills,21418,1779,1544,21,18,3
Allamakee,21258,1551,1441,51,41,10
Cherokee,20958,1681,1510,38,30,8
Madison,20888,1726,1496,19,15,4
Wright,20872,1894,1742,36,29,7
Cass,20856,1453,1282,54,48,6
Jefferson,20592,1432,1279,35,29,6
Sac,20303,1374,1232,19,19,0
Franklin,19562,1257,1096,21,19,2
Grundy,19429,1436,1314,32,27,5
Palo Alto,18988,1176,1059,23,22,1
Guthrie,18713,1284,1141,29,24,5
Calhoun,18472,1401,1315,13,12,1
Monona,18293,884,776,30,28,2
Mitchell,18013,1368,1217,42,39,3
Appanoose,17964,1452,1211,47,43,4
Winnebago,17654,1512,1314,31,26,5
Chickasaw,17568,1305,1206,15,13,2
Shelby,17470,1360,1217,37,33,4
Louisa,17411,1340,1212,49,42,7
Union,17291,1355,1195,32,26,6
Emmet,17192,1397,1210,40,38,2
Howard,16908,1090,1002,22,18,4
Lyon,16526,1577,1478,41,37,4
Keokuk,15811,1020,912,31,31,0
Humboldt,15539,1235,1153,26,23,3
Greene,15039,820,750,10,10,0
Montgomery,14473,1100,957,37,35,2
Clarke,13466,1052,957,24,22,2
Worth,13232,776,684,8,7,1
Pocahontas,13187,896,815,22,22,0
Ida,12633,1010,842,34,32,2
Adair,12330,980,807,32,22,10
Audubon,12316,516,478,9,8,1
Davis,11175,879,770,24,23,1
Decatur,10417,610,581,9,9,0
Pending Investigation,10190,1028,954,0,0,0
Ringgold,9829,561,515,24,18,6
Monroe,9759,994,895,28,21,7
Lucas,9426,796,727,23,18,5
Osceola,9094,805,708,16,13,3
Taylor,8725,678,634,12,10,2
Van Buren,8519,580,534,18,15,3
Fremont,7369,658,590,9,7,2
Wayne,7175,573,491,23,18,5
Adams,5667,349,321,4,4,0
