County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,811120,70223,58630,655,574,81
Linn,344559,24850,21228,346,310,36
Black Hawk,259133,19860,16533,328,300,28
Scott,253028,23205,20324,252,228,24
Johnson,247095,16506,14698,88,80,8
Dubuque,218216,15412,13409,217,196,21
Story,181304,12152,10878,48,42,6
Woodbury,169227,17375,15172,231,212,19
Dallas,148125,13524,11424,102,88,14
Pottawattamie,135500,13428,11244,179,155,24
Marshall,97011,5638,4861,79,70,9
Cerro Gordo,92029,6393,5570,100,82,18
Warren,89788,6826,5861,92,82,10
Webster,84470,6218,5372,102,86,16
Clinton,74882,6351,5573,94,79,15
Lee,70209,4911,3972,63,49,14
Des Moines,68788,5781,4802,80,67,13
Muscatine,66101,5606,4855,107,98,9
Jasper,60893,5180,4483,73,67,6
Wapello,55191,5064,4286,126,121,5
Sioux,51313,5477,5135,74,71,3
Poweshiek,51023,1748,1571,36,33,3
Boone,50855,3093,2704,35,32,3
Buena Vista,50391,5227,4282,40,36,4
Marion,49440,4270,3664,80,68,12
Washington,48915,2968,2568,53,49,4
Bremer,46670,3222,2886,64,54,10
Winneshiek,44615,2147,1976,37,32,5
Benton,44050,2988,2583,56,45,11
Henry,43137,3371,2984,39,37,2
Plymouth,42939,4490,3979,82,74,8
Hardin,42814,2223,1880,45,34,11
Fayette,42365,2142,1848,43,38,5
Carroll,41380,3200,2821,52,43,9
Tama,37539,2369,2069,72,68,4
Cedar,37232,2152,1919,24,22,2
Buchanan,36675,2275,1944,35,28,7
Mahaska,36577,2620,2295,51,46,5
Clay,34813,2359,2154,27,22,5
Iowa,34241,1676,1470,24,22,2
Delaware,33827,2302,2087,43,38,5
Butler,33789,1928,1654,36,31,5
Crawford,32098,3249,2706,43,37,6
Dickinson,30772,2784,2468,46,40,6
Jones,30616,3282,2961,57,51,6
Kossuth,30263,2477,2161,68,59,9
Clayton,30052,1902,1683,58,49,9
Jackson,29916,2472,2223,43,39,4
Floyd,29820,1927,1608,42,32,10
O'Brien,28974,2223,1956,61,56,5
Hamilton,27319,2196,1847,52,47,5
Jefferson,26257,1656,1333,35,29,6
Page,25242,2140,1939,23,20,3
Hancock,24976,1698,1503,35,28,7
Allamakee,24812,1686,1518,52,42,10
Mills,24367,1924,1626,24,21,3
Cherokee,24252,1795,1582,39,31,8
Madison,24212,1959,1667,19,15,4
Franklin,24190,1508,1269,23,21,2
Cass,23898,1575,1373,56,50,6
Harrison,23650,2030,1758,75,70,5
Wright,23382,2115,1883,40,33,7
Sac,23320,1468,1314,20,19,1
Calhoun,22071,1556,1436,13,12,1
Grundy,21969,1541,1363,34,28,6
Guthrie,21646,1405,1227,32,26,6
Palo Alto,21344,1255,1126,24,23,1
Appanoose,21092,1541,1237,49,44,5
Louisa,20877,1484,1264,49,42,7
Mitchell,20641,1439,1241,43,40,3
Winnebago,20637,1667,1443,31,26,5
Monona,20380,955,842,32,30,2
Chickasaw,20269,1398,1252,17,14,3
Union,19952,1411,1267,37,29,8
Shelby,19783,1461,1291,38,34,4
Howard,19355,1145,1036,22,18,4
Emmet,19116,1489,1326,41,39,2
Lyon,18797,1669,1577,41,37,4
Humboldt,18209,1408,1238,26,23,3
Keokuk,18002,1125,978,32,31,1
Greene,17256,915,789,11,10,1
Montgomery,16188,1183,1032,38,36,2
Worth,15898,900,761,8,7,1
Clarke,15508,1193,1002,24,22,2
Pocahontas,15433,945,853,22,22,0
Audubon,15299,580,522,14,13,1
Ida,14725,1122,901,36,32,4
Davis,13732,1038,857,25,23,2
Adair,13610,1051,869,32,22,10
Decatur,12321,710,662,10,10,0
Ringgold,11684,621,551,26,20,6
Lucas,11502,866,763,23,18,5
Monroe,11443,1112,984,33,25,8
Van Buren,10687,668,557,18,15,3
Osceola,10415,840,781,17,14,3
Taylor,10261,720,659,12,10,2
Wayne,8857,632,543,23,18,5
Fremont,8704,732,645,10,8,2
Adams,6870,383,348,4,4,0
Unknown,5470,6,0,0,0,0
