County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,593873,58883,48957,564,502,62
Linn,254445,20774,18640,319,287,32
Black Hawk,188888,16347,14312,294,274,20
Johnson,185009,13956,12611,76,71,5
Scott,181725,18448,16395,213,197,16
Dubuque,164075,13624,11845,196,183,13
Story,142486,10352,9162,45,39,6
Woodbury,125994,15105,13234,214,198,16
Dallas,112223,11498,9581,93,82,11
Pottawattamie,104988,10886,9388,147,130,17
Marshall,72073,5012,4431,73,65,8
Cerro Gordo,68107,5378,4821,83,70,13
Warren,65548,5636,4839,76,71,5
Webster,61477,5218,4752,88,74,14
Clinton,54343,5474,4734,86,75,11
Des Moines,49348,4614,4074,61,53,8
Lee,47704,3767,3407,53,40,13
Muscatine,47034,4575,3972,93,84,9
Jasper,44726,4206,3474,67,62,5
Wapello,40727,4401,3671,110,106,4
Buena Vista,40389,4762,3994,37,34,3
Boone,38965,2628,2317,30,28,2
Sioux,37963,4975,4607,69,66,3
Marion,36166,3625,3222,72,62,10
Washington,36086,2549,2288,47,43,4
Poweshiek,35784,1554,1424,30,28,2
Plymouth,33625,3985,3527,78,70,8
Bremer,33456,2842,2539,55,47,8
Benton,32439,2569,2200,54,44,10
Winneshiek,32313,1905,1689,29,25,4
Henry,32258,2942,2710,37,36,1
Carroll,32085,2868,2574,48,41,7
Fayette,30707,1871,1702,35,32,3
Hardin,30109,1827,1608,39,33,6
Tama,28936,2152,1898,67,64,3
Mahaska,26921,2261,2049,46,41,5
Cedar,26722,1809,1594,23,21,2
Buchanan,26564,1877,1673,29,25,4
Iowa,25950,1465,1325,23,21,2
Butler,25819,1678,1522,32,28,4
Clay,25815,1961,1774,25,20,5
Crawford,24138,2779,2400,35,31,4
Delaware,23739,1909,1785,40,35,5
Jones,22701,2952,2763,55,51,4
Jackson,22663,2223,2009,39,36,3
Dickinson,22561,2206,1904,40,34,6
O'Brien,22490,1982,1703,58,54,4
Floyd,22465,1640,1410,41,31,10
Kossuth,22461,2094,1864,55,49,6
Clayton,21669,1684,1533,54,46,8
Hamilton,21151,1921,1647,42,41,1
Mills,19303,1639,1427,20,17,3
Wright,18945,1813,1678,31,26,5
Hancock,18810,1477,1325,31,26,5
Allamakee,18650,1501,1313,48,38,10
Page,18598,1847,1726,19,18,1
Cass,18447,1369,1172,51,46,5
Harrison,18342,1802,1567,70,66,4
Cherokee,18140,1562,1387,36,29,7
Madison,18107,1595,1365,18,14,4
Jefferson,18015,1391,1236,34,28,6
Franklin,17662,1195,1056,19,18,1
Sac,17404,1267,1138,18,18,0
Grundy,17062,1399,1241,31,26,5
Calhoun,16241,1347,1251,11,11,0
Monona,15990,819,724,27,26,1
Palo Alto,15953,1062,948,22,20,2
Guthrie,15833,1183,1046,28,23,5
Appanoose,15729,1394,1134,47,43,4
Mitchell,15574,1321,1154,40,38,2
Chickasaw,15470,1263,1158,15,13,2
Winnebago,15423,1398,1233,31,26,5
Louisa,15246,1286,1153,45,38,7
Union,15174,1269,1139,31,26,5
Howard,14811,1036,927,22,18,4
Emmet,14523,1225,1087,40,38,2
Shelby,14455,1234,1086,34,31,3
Humboldt,13724,1189,1081,25,22,3
Keokuk,13702,990,868,29,29,0
Lyon,13265,1461,1384,41,37,4
Greene,13203,777,710,10,10,0
Pending Investigation,12849,1008,846,0,0,0
Montgomery,12684,1044,918,36,34,2
Clarke,11982,1013,876,21,21,0
Pocahontas,11576,855,786,19,19,0
Worth,11107,705,634,8,7,1
Adair,11097,933,720,30,22,8
Ida,10630,932,766,32,30,2
Audubon,10511,493,437,9,8,1
Davis,9505,836,717,23,22,1
Decatur,9045,587,528,9,9,0
Ringgold,8739,525,471,20,17,3
Monroe,8556,938,837,28,21,7
Lucas,8208,752,667,21,17,4
Taylor,7571,666,620,12,10,2
Van Buren,7476,562,515,18,15,3
Osceola,7183,709,646,15,13,2
Fremont,6498,595,537,9,7,2
Wayne,5329,513,416,21,17,4
Adams,4769,327,311,4,4,0
