County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,22968,250149,13801,536683
Linn,7916,120168,9109,256103
Scott,6802,78913,6447,172305
Johnson,5887,89234,4383,188383
Black Hawk,4769,66499,6303,144277
Woodbury,4505,42696,5016,94489
Story,4383,48560,2953,103649
Pottawattamie,4269,43824,4948,97785
Dallas,3538,43579,2600,91903
Dubuque,3393,59252,2274,123979
Cerro Gordo,2106,24609,2031,53429
Des Moines,1844,17774,731,38175
Clinton,1692,16391,1630,36179
Webster,1553,16781,1383,36774
Warren,1287,16764,1077,35723
Muscatine,1131,13652,5058,33612
Marshall,1106,13698,3006,31376
Lee,1000,11878,2040,27031
Wapello,899,11966,1021,25973
Marion,892,11875,4043,28833
Bremer,868,12115,1303,26402
Jasper,788,13826,1171,29406
Buena Vista,715,6950,3608,18320
Page,644,6668,854,14863
Jefferson,632,7297,1003,16223
Boone,612,11172,584,23485
Sioux,579,9900,2719,23107
Carroll,573,9582,1154,21067
Tama,565,8121,984,17880
Washington,564,7151,564,15444
Dickinson,558,7535,262,15889
Winneshiek,556,8070,1063,17728
Emmet,551,4580,388,10221
Henry,539,7211,1980,16990
Mahaska,527,7346,589,15855
Clay,524,8114,312,17005
Mills,519,5808,156,12320
Fayette,507,9949,942,21358
Cass,498,10080,446,21333
Poweshiek,494,9057,443,18958
Plymouth,468,6990,2993,17481
Crawford,408,6029,1604,14091
Buchanan,382,6163,349,13050
Jackson,380,7956,264,16540
Union,366,4823,331,10249
Benton,362,7492,468,15821
Kossuth,347,5886,504,12660
Grundy,343,4516,434,9817
Montgomery,330,3192,588,7325
Floyd,329,6264,1151,14026
Appanoose,321,4159,487,9217
Allamakee,312,5541,119,11522
Clarke,309,4168,1383,10042
Madison,298,6826,171,14198
Wright,294,4809,1750,11643
Hardin,292,6092,1347,13883
Shelby,284,5700,154,11878
Jones,279,6128,954,13534
Hamilton,277,6856,412,14560
O'Brien,274,5227,370,11104
Winnebago,270,3875,512,8548
Cedar,262,6153,292,12829
Harrison,245,3281,258,7078
Out of State,243,5210,1,10376
Cherokee,242,4617,306,9787
Delaware,231,4570,801,10136
Humboldt,228,3893,412,8577
Iowa,211,5651,634,12166
Greene,210,4359,515,9516
Guthrie,206,4329,282,9165
Clayton,202,5943,669,12802
Davis,192,3196,1675,8311
Monroe,183,3164,315,6859
Decatur,179,2836,123,6070
Palo Alto,176,3286,165,6940
Wayne,176,2890,394,6458
Lucas,166,3380,430,7446
Mitchell,162,4378,174,9114
Franklin,161,3439,261,7308
Howard,143,2146,195,4614
Louisa,139,3196,1550,8073
Adair,127,2191,338,4799
Lyon,122,2962,84,6142
Chickasaw,106,2781,360,6020
Taylor,104,2197,24,4551
Sac,100,3216,54,6605
Ida,98,1583,511,3773
Ringgold,96,2075,6,4310
Monona,93,2129,221,4556
Calhoun,90,4084,192,8482
Hancock,89,2990,726,6795
Butler,89,3800,181,7892
Adams,74,1654,10,3582
Van Buren,71,1420,129,3042
Pocahontas,70,1882,163,4002
Fremont,68,1603,98,3372
Worth,49,1726,1,3499
Osceola,40,1501,185,3225
Keokuk,40,1598,100,3334
Audubon,36,2001,101,4139
