County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,575747,58013,47611,549,489,60
Linn,247550,20609,18237,312,282,30
Black Hawk,183707,16225,14099,290,272,18
Johnson,179389,13804,12386,73,68,5
Scott,177526,18275,16083,207,192,15
Dubuque,159769,13521,11658,194,180,14
Story,138437,10190,8984,45,39,6
Woodbury,123118,14933,13088,211,195,16
Dallas,109076,11326,9289,90,79,11
Pottawattamie,102732,10761,9230,143,128,15
Marshall,69958,4953,4333,72,64,8
Cerro Gordo,66357,5326,4752,81,68,13
Warren,63403,5534,4707,74,69,5
Webster,59957,5177,4703,87,73,14
Clinton,52782,5423,4632,84,74,10
Des Moines,47348,4572,3996,61,53,8
Lee,46421,3747,3339,52,39,13
Muscatine,45944,4505,3922,91,82,9
Jasper,43147,4161,3388,66,62,4
Wapello,39512,4318,3559,108,104,4
Buena Vista,39498,4727,3978,36,33,3
Boone,38037,2589,2261,30,28,2
Sioux,36978,4933,4561,69,66,3
Washington,35169,2540,2243,47,43,4
Marion,34888,3585,3145,69,60,9
Poweshiek,34499,1538,1378,30,28,2
Plymouth,33038,3942,3495,77,69,8
Bremer,32036,2792,2488,54,47,7
Carroll,31365,2854,2557,48,40,8
Henry,31351,2932,2687,37,36,1
Benton,31140,2521,2132,54,44,10
Winneshiek,30992,1884,1632,27,23,4
Fayette,29884,1843,1664,35,32,3
Hardin,29284,1808,1571,39,33,6
Tama,28074,2129,1874,65,63,2
Mahaska,26105,2238,1984,46,41,5
Cedar,25748,1770,1567,23,21,2
Buchanan,25622,1846,1630,29,25,4
Iowa,25244,1442,1292,23,21,2
Clay,25230,1931,1739,25,20,5
Butler,24981,1663,1504,31,28,3
Crawford,23401,2734,2354,35,31,4
Delaware,23077,1890,1752,39,34,5
Dickinson,22085,2172,1877,39,33,6
Jones,22083,2942,2733,54,50,4
Jackson,22031,2212,1964,38,35,3
Floyd,21983,1626,1396,40,31,9
Kossuth,21801,2081,1828,54,47,7
O'Brien,21759,1936,1675,58,54,4
Clayton,21029,1679,1518,53,45,8
Hamilton,20641,1918,1611,42,41,1
Mills,19007,1629,1388,20,17,3
Wright,18599,1795,1667,31,26,5
Hancock,18368,1467,1317,29,24,5
Allamakee,18048,1451,1286,46,38,8
Cass,18014,1333,1134,51,46,5
Harrison,17852,1792,1547,69,65,4
Page,17564,1826,1692,19,18,1
Jefferson,17445,1383,1222,32,27,5
Franklin,17358,1184,1037,19,18,1
Cherokee,17345,1534,1377,35,29,6
Madison,17142,1542,1296,18,14,4
Sac,16859,1242,1129,18,18,0
Grundy,16512,1389,1212,30,25,5
Calhoun,15867,1332,1240,11,11,0
Palo Alto,15616,1049,920,21,19,2
Monona,15561,815,712,27,26,1
Appanoose,15386,1388,1110,47,43,4
Guthrie,15311,1163,1032,28,23,5
Mitchell,15185,1307,1150,40,38,2
Chickasaw,15137,1248,1144,13,12,1
Winnebago,14985,1378,1218,30,25,5
Louisa,14912,1281,1147,41,34,7
Union,14872,1263,1117,31,26,5
Howard,14287,1028,882,21,17,4
Emmet,14245,1210,1073,40,38,2
Shelby,14050,1205,1074,33,30,3
Humboldt,13381,1172,1061,25,22,3
Keokuk,13261,978,850,29,29,0
Pending Investigation,13027,985,825,0,0,0
Greene,12910,769,701,10,10,0
Lyon,12908,1457,1369,41,37,4
Montgomery,12302,1040,891,36,34,2
Clarke,11640,1002,834,20,20,0
Pocahontas,11339,851,776,19,19,0
Worth,10800,696,624,7,6,1
Adair,10787,920,681,28,22,6
Ida,10210,908,748,32,30,2
Audubon,10134,486,423,9,8,1
Davis,9224,825,697,23,22,1
Decatur,8710,574,517,9,9,0
Ringgold,8541,518,456,20,17,3
Monroe,8352,930,814,28,21,7
Lucas,7985,733,658,21,17,4
Taylor,7273,663,610,12,10,2
Van Buren,7261,560,503,18,15,3
Osceola,6875,703,643,14,12,2
Fremont,6405,586,533,9,7,2
Wayne,5076,487,404,21,17,4
Adams,4631,326,307,4,4,0
