County,Number of Doses
Polk,559671
Linn,257075
Johnson,186076
Scott,158938
Black Hawk,134874
Dubuque,109059
Story,107332
Dallas,106123
Woodbury,91130
Pottawattamie,84816
Warren,52818
Cerro Gordo,45945
Clinton,42132
Marshall,41802
Muscatine,41264
Jasper,36839
Webster,35343
Des Moines,34299
Boone,29503
Marion,28923
Wapello,28067
Lee,27669
Bremer,25962
Benton,25538
Sioux,24295
Washington,21515
Winneshiek,21421
Plymouth,21392
Carroll,21130
Jones,20887
Buchanan,19899
Buena Vista,19773
Cedar,19263
Poweshiek,18919
Fayette,18719
Jackson,18238
Dickinson,17750
Henry,17510
Iowa,17476
Tama,17420
Mahaska,16333
Hamilton,15867
Hardin,15857
Delaware,15664
Madison,15339
Jefferson,15137
Clay,14850
Butler,14823
Crawford,14510
Floyd,14461
Clayton,14441
Page,13672
Kossuth,13586
Grundy,13222
Mills,13174
Cass,13004
Wright,12004
O'Brien,11941
Harrison,11884
Allamakee,11836
Shelby,11817
Guthrie,10976
Chickasaw,10913
Union,10906
Cherokee,10527
Calhoun,9887
Appanoose,9885
Montgomery,9328
Franklin,9323
Mitchell,9223
Winnebago,9177
Louisa,9034
Hancock,9022
Sac,8824
Greene,8727
Clarke,8351
Humboldt,8205
Keokuk,8132
Emmet,8131
Howard,7908
Monona,7844
Palo Alto,7837
Lyon,7316
Worth,6692
Lucas,6563
Pocahontas,6105
Adair,6090
Monroe,6038
Davis,5678
Audubon,5672
Ida,5574
Fremont,5451
Decatur,5388
Van Buren,5034
Taylor,5006
Wayne,4664
Osceola,4650
Ringgold,4505
Adams,3379
.,74
