Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.17004689331770224,American Indian or Alaska Native
Asian,0.37468348411179405,Asian
Black,0.19709613207915384,Black
Native Hawaiian or Other Pacific Islander,0.3445045795170691,Native Hawaiian or Other Pacific Islander
Other Race,0.5205809182255824,Other Race
White,0.41588343103375915,White
