County,Series Initiated,Series Completed
Polk,38333,16162
Johnson,14495,11611
Linn,13383,7491
Scott,9514,4229
Black Hawk,9162,3559
Pottawattamie,6696,4373
Dubuque,5944,4334
Story,4820,3179
Woodbury,4354,3274
Dallas,4085,1606
Cerro Gordo,3662,2163
Webster,2893,1089
Jasper,2214,1157
Warren,2039,1118
Clay,1927,836
Lee,1820,910
Wapello,1672,743
Bremer,1650,1375
Des Moines,1611,1356
Carroll,1493,976
Sioux,1437,747
Clinton,1406,995
Boone,1343,682
Marshall,1089,667
Marion,1051,853
Muscatine,967,735
Jones,941,333
Mills,853,336
Cedar,847,296
Jackson,832,372
Plymouth,793,347
Hardin,775,458
Kossuth,772,229
Harrison,741,159
O'Brien,728,489
Page,726,568
Delaware,712,427
Dickinson,711,477
Winneshiek,667,579
Clayton,636,345
Benton,633,552
Franklin,630,166
Butler,629,146
Tama,626,270
Buena Vista,591,428
Fayette,589,401
Calhoun,575,313
Shelby,559,393
Crawford,556,318
Poweshiek,555,266
Iowa,541,324
Allamakee,535,233
Grundy,522,273
Jefferson,521,372
Sac,512,210
Floyd,511,247
Washington,501,164
Monroe,499,118
Henry,494,440
Winnebago,492,140
Mahaska,491,272
Ida,458,128
Guthrie,450,219
Wayne,447,202
Audubon,443,146
Madison,434,244
Wright,421,364
Hamilton,413,366
Buchanan,400,478
Worth,399,56
Humboldt,394,242
Ringgold,391,168
Cass,386,496
Fremont,380,92
Cherokee,363,466
Appanoose,361,216
Decatur,345,156
Taylor,344,90
Lyon,343,163
Mitchell,335,200
Montgomery,333,291
Clarke,328,181
Monona,318,193
Lucas,317,100
Howard,313,177
Union,309,342
Emmet,308,228
Louisa,282,81
Osceola,270,117
Greene,227,214
Palo Alto,224,379
Van Buren,212,82
Davis,197,133
Adams,179,93
Chickasaw,176,177
Keokuk,166,154
Adair,149,113
Pocahontas,106,118
Hancock,81,296
.,0,0
