Age Group Public,RECIP_ID
0 - 11,7
12 - 15,83081
16 - 17,56976
18 - 19,66745
20 - 29,338088
30 - 39,375610
40 - 49,388205
50 - 59,474505
60 - 64,293971
65+,919969
