Age Group Public,RECIP_ID
0 - 11,5
12 - 15,74180
16 - 17,54042
18 - 19,64379
20 - 29,330077
30 - 39,368655
40 - 49,381640
50 - 59,467985
60 - 64,290975
65+,914222
