County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,55443,89750,1225,237589
Linn,26139,48051,3641,124833
Scott,20821,32363,1521,87994
Johnson,17227,42828,617,103991
Black Hawk,16097,29999,2685,78995
Dubuque,14315,26814,320,68232
Story,11437,17845,410,47412
Pottawattamie,10160,19723,3855,54293
Dallas,9949,12706,1057,35838
Woodbury,9118,21315,1626,52923
Cerro Gordo,6866,12006,1019,31769
Clinton,5824,5753,366,17685
Webster,5674,6552,499,19265
Fayette,5164,3062,200,11465
Cass,4484,3739,0,11972
Warren,4339,6914,103,17983
Muscatine,4149,4749,1600,15249
Des Moines,3969,9128,299,22351
Lee,3905,5294,274,14934
Marion,3769,5022,2982,16777
Marshall,3697,4488,1778,14411
Carroll,3420,4012,600,12064
Bremer,3352,6164,110,15749
Boone,3246,4682,97,12658
Jasper,3184,6109,101,15257
Wapello,3058,5519,0,14094
Jefferson,2986,2477,95,8035
Winneshiek,2746,2940,1,8624
Sioux,2689,4999,1340,14024
Hamilton,2462,2573,0,7620
Clay,2451,4408,0,11192
Poweshiek,2383,3393,0,9082
Allamakee,2329,2608,0,7544
Henry,2274,2691,104,7776
Dickinson,2178,3590,0,9340
Mahaska,2168,2997,0,8152
Mitchell,2148,1728,0,5604
Clayton,2144,3171,0,8477
Madison,2132,2631,0,7397
Clarke,2126,1054,1107,5321
Kossuth,2093,2795,0,7676
Washington,2040,2530,1,7098
Benton,2029,3397,0,8826
Emmet,2021,1530,1,5105
Humboldt,1940,1407,0,4754
Hardin,1909,2688,297,7565
Tama,1899,3313,651,9111
Page,1845,3081,100,8101
Crawford,1827,2682,1267,8445
Appanoose,1817,1818,0,5438
Mills,1795,2380,0,6550
Shelby,1775,2556,33,6916
Cedar,1760,2913,0,7579
Buchanan,1709,2960,50,7667
Floyd,1706,2878,251,7697
Wright,1678,2063,1320,7101
Plymouth,1630,3889,2517,11926
Decatur,1552,966,0,3455
Grundy,1512,2056,0,5626
Calhoun,1502,1902,0,5302
Union,1495,1887,0,5265
Franklin,1490,1554,0,4592
Guthrie,1476,1726,0,4915
O'Brien,1433,2743,0,6928
Buena Vista,1416,3208,2438,10339
Cherokee,1394,2184,80,5840
Jones,1349,2545,0,6484
Winnebago,1349,1517,0,4377
Greene,1343,1398,100,4242
Jackson,1329,4459,0,10240
Delaware,1307,2160,100,5724
Lucas,1261,1291,96,3932
Davis,1255,1421,1477,5563
Palo Alto,1225,1538,0,4309
Wayne,1119,1457,0,4036
Louisa,1010,1674,1389,5732
Sac,945,1939,0,4826
Iowa,926,2773,0,6467
Monroe,926,1466,99,3950
Lyon,917,1486,0,3885
Butler,892,2268,0,5432
Harrison,885,1638,0,4162
Adams,844,812,0,2464
Adair,778,954,0,2670
Taylor,759,1224,0,3205
Montgomery,757,1560,99,3973
Chickasaw,734,1503,0,3736
Hancock,727,1674,0,4072
Ringgold,686,1053,0,2781
Audubon,685,1030,0,2745
Pocahontas,511,908,95,2421
Howard,490,1048,0,2583
Monona,465,1136,2,2730
Worth,449,918,0,2281
Van Buren,449,705,0,1858
Fremont,440,942,0,2325
Osceola,433,833,0,2100
Keokuk,418,874,0,2166
Ida,414,1000,0,2416
Out of State,292,4254,0,8376
