Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.182063305978898,American Indian or Alaska Native
Asian,0.39198040870671316,Asian
Black,0.21436321767300263,Black
Native Hawaiian or Other Pacific Islander,0.3713572023313905,Native Hawaiian or Other Pacific Islander
Other Race,0.5535039255597557,Other Race
White,0.4311107069406942,White
