RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,249330,236164,13166
19161,4099,3761,338
19027,10071,9066,1005
19013,61731,56330,5401
19017,12116,11064,1052
19019,9031,8397,634
19195,3044,2855,189
19033,21046,19327,1719
19081,4244,3782,462
19169,49404,46655,2749
19139,20082,16049,4033
19165,5471,5244,227
19009,2680,2526,154
19191,10233,9340,893
19103,87941,83082,4859
19065,8599,8010,589
19061,50649,48877,1772
19147,3660,3435,225
19183,9913,9203,710
19193,40955,36335,4620
19003,1540,1478,62
19173,2291,2215,76
19041,6780,6380,400
19125,13639,11503,2136
19123,7465,6657,808
19157,8714,8260,454
19099,17028,15441,1587
19073,4109,3595,514
19113,119239,110802,8437
19049,47661,45273,2388
19171,8048,7199,849
19109,6454,5892,562
19187,16126,14741,1385
19011,11686,10785,901
19045,19090,17638,1452
19067,6617,6080,537
19189,4428,3847,581
19131,4178,3971,207
19029,6033,5678,355
19135,2873,2549,324
19127,19502,16868,2634
19063,3759,3445,314
19159,2051,2009,42
19115,4381,3339,1042
19163,72073,66811,5262
19149,10426,8317,2109
19059,8145,7872,273
19093,2673,2267,406
19015,13518,12770,748
19141,5665,5142,523
19075,6056,5578,478
19091,3818,3454,364
19151,2821,2603,218
19055,7312,6465,847
19101,7007,6295,712
19005,5305,5075,230
19181,23791,22442,1349
19025,4630,4286,344
19083,7528,6603,925
19069,4262,3888,374
19023,6859,6418,441
19133,3646,3411,235
19085,5382,5020,362
19137,4316,3789,527
19111,12845,11289,1556
19197,5765,4855,910
19179,13342,10960,2382
19121,6918,6581,337
19143,2247,2027,220
19051,2596,2433,163
19047,6956,5635,1321
19145,6293,5755,538
19043,6926,6343,583
19057,15040,14153,887
19007,4581,4162,419
19107,3772,3470,302
19077,5047,4708,339
19129,5861,5582,279
19021,9520,6516,3004
19087,8380,6782,1598
19079,7394,6718,676
19035,4850,4479,371
19001,2890,2569,321
19037,5194,4501,693
19095,8145,7443,702
19167,11577,9899,1678
19089,3735,3265,470
19119,3438,3263,175
19185,2143,1971,172
19039,3910,3202,708
19097,8327,7950,377
19155,37294,35161,2133
19117,3128,2728,400
19031,8972,8305,667
19175,4958,4688,270
19071,2543,2345,198
19053,2482,2249,233
19177,2277,2068,209
19105,9950,8917,1033
,44,38,6
