RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,0.489337603097295,44927,2596
19197,0.44507244069415699,4705,886
19113,0.5032641394581529,106196,7897
19157,0.45363164721141377,7961,433
19153,0.47793684116035348,222157,12109
19099,0.43676213526959797,14745,1496
19139,0.44398087380461279,15215,3727
19049,0.48007019571335327,42621,2243
19163,0.3949798488519339,63362,4947
19057,0.3646932019401032,13411,800
19135,0.3612300506033476,2484,300
19143,0.3638804968110104,1970,198
19055,0.41772970430897657,6288,818
19171,0.45799216803132788,6944,775
19061,0.5052460667344905,47525,1641
19103,0.560447267434167,80127,4579
19075,0.480134074558535,5424,449
19165,0.464117338920901,5104,212
19151,0.4068590421513824,2489,204
19193,0.37816055165992609,34616,4375
19029,0.4561389841071985,5513,342
19079,0.4828403167941515,6480,653
19023,0.458203476695062,6214,402
19155,0.3780121451408708,33183,2050
19175,0.3891838902050486,4517,247
19045,0.3885071830106184,16697,1341
19021,0.46411824668705406,6197,2909
19083,0.43416834856939337,6430,884
19093,0.37448979591836736,2181,388
19033,0.47326266195524149,18541,1549
19025,0.46514273893256105,4182,315
19071,0.3586206896551724,2302,194
19121,0.40568000979312038,6325,303
19013,0.44934007986100529,53805,5161
19035,0.42207387627948375,4395,347
19047,0.3973246135552913,5392,1291
19059,0.4594391007069185,7678,251
19173,0.3600718836791374,2140,64
19131,0.38191951634233897,3861,182
19187,0.4305926916221034,14205,1255
19127,0.46429932180141739,15890,2389
19097,0.4159678995833119,7730,356
19007,0.3575567358763882,4049,394
19149,0.39798228541923189,7993,2027
19065,0.4233587786259542,7778,541
19137,0.4225068064938994,3675,515
19117,0.3516279069767442,2656,368
19181,0.4395523258073291,21405,1217
19015,0.4903560265304567,12169,695
19081,0.3859830667920978,3672,431
19109,0.4165935327077567,5644,527
19011,0.43957886527588227,10413,860
19043,0.38577696734856689,6214,556
19161,0.41250900113157087,3686,324
19027,0.4851475328539549,8804,979
19179,0.36309302525093659,10481,2216
19069,0.4089374379344588,3766,352
19123,0.32387417967866036,6401,755
19031,0.46513126107263649,8020,644
19089,0.3909150469534833,3143,437
19189,0.41346339578906707,3721,560
19017,0.462931928816535,10595,1007
19085,0.37248202719054737,4886,347
19183,0.4346915547461871,8890,658
19019,0.4062337662337662,8022,580
19095,0.4807217004448838,7139,641
19005,0.3760502666764083,4939,208
19195,0.39682969787291696,2758,171
19105,0.4654030269329336,8645,980
19141,0.4010034174361957,5027,488
19077,0.45111797174665549,4512,310
19191,0.4906708018608374,8960,849
19063,0.3979148566463944,3358,306
19111,0.36078676055501088,10706,1437
19147,0.400405131667792,3347,211
19145,0.4028596015092341,5602,484
19051,0.2762222222222222,2341,145
19125,0.39449072264156617,11043,2075
19133,0.41567034242600117,3373,208
19067,0.4060222477943997,5876,475
19009,0.4697962154294032,2434,148
19053,0.30419313850063536,2172,222
19185,0.3153237074988356,1869,162
19003,0.4114380899500278,1429,53
19041,0.4102772227772228,6212,359
19115,0.3801540552786588,3198,997
19107,0.35672457544407579,3370,285
19087,0.4035782299288363,6559,1494
19119,0.2871118672905147,3216,159
19001,0.39233780760626399,2502,304
19101,0.36299535392183659,5958,683
19039,0.39648749334752528,3039,686
19167,0.32219193802897719,9615,1615
19159,0.40641601961585618,1951,38
19073,0.4396939693969397,3414,494
19129,0.37447878747766236,5389,269
19091,0.3864825277254656,3350,344
19177,0.3137421919363998,2023,187
19037,0.42177155786474487,4373,660
,,36,6
