County,Series Initiated,Series Completed
Polk,42530,19417
Johnson,17755,13187
Linn,14888,9286
Scott,12548,5150
Black Hawk,10469,4560
Pottawattamie,8334,4769
Dubuque,7837,5027
Story,5238,4146
Dallas,5085,2061
Cerro Gordo,4934,2403
Woodbury,4695,4071
Webster,2940,1308
Jasper,2714,1452
Warren,2628,1360
Lee,2529,1068
Clinton,2271,1041
Des Moines,2259,1539
Plymouth,2196,354
Sioux,2044,1022
Bremer,2039,1799
Clay,1935,1130
Wapello,1891,1104
Marion,1742,961
Boone,1556,1183
Marshall,1536,891
Carroll,1454,1372
Muscatine,1437,845
Jackson,1380,430
Kossuth,1326,295
Benton,1218,603
Jones,1209,349
Clayton,1187,505
Winneshiek,1152,696
Tama,1141,389
Iowa,1124,348
Washington,1124,264
Cedar,1085,492
Butler,1004,150
Poweshiek,1004,364
Fayette,1000,413
Hardin,985,552
Harrison,983,188
Madison,972,265
Mills,955,469
Crawford,955,391
Page,949,588
Mahaska,931,315
Buena Vista,928,537
Buchanan,926,614
Henry,911,481
Dickinson,909,552
Cass,879,502
Delaware,867,507
Sac,856,210
Jefferson,856,482
Allamakee,855,293
Calhoun,826,377
O'Brien,805,641
Shelby,764,485
Franklin,759,176
Guthrie,711,263
Winnebago,702,190
Hamilton,673,503
Floyd,669,299
Grundy,666,339
Union,638,381
.,614,3219
Mitchell,611,229
Lyon,604,178
Monroe,597,149
Appanoose,591,265
Ringgold,582,194
Taylor,576,95
Palo Alto,568,401
Louisa,558,114
Cherokee,546,507
Hancock,546,309
Davis,546,157
Wayne,544,210
Chickasaw,541,192
Worth,531,70
Wright,524,453
Emmet,503,238
Lucas,465,159
Montgomery,461,354
Monona,455,214
Humboldt,449,308
Adair,447,113
Fremont,442,92
Audubon,431,314
Decatur,424,167
Clarke,410,200
Osceola,400,137
Howard,399,221
Keokuk,388,199
Pocahontas,385,129
Adams,377,116
Ida,365,223
Greene,355,248
Van Buren,344,95
