County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,749395,65693,57408,642,563,79
Linn,315552,22679,20720,340,304,36
Scott,233611,21753,20008,248,224,24
Black Hawk,229676,17741,15627,312,288,24
Johnson,227651,15516,14479,85,77,8
Dubuque,205789,14831,13241,211,195,16
Story,170940,11487,10635,48,42,6
Woodbury,156350,16555,14992,230,211,19
Dallas,136942,12641,11143,99,85,14
Pottawattamie,127188,12367,11029,174,151,23
Marshall,87503,5255,4786,76,68,8
Cerro Gordo,84224,5990,5399,97,80,17
Warren,83766,6351,5721,91,81,10
Webster,73344,5466,5041,94,79,15
Clinton,69674,6096,5511,93,79,14
Des Moines,61989,5055,4594,72,60,12
Muscatine,60720,5229,4761,106,97,9
Lee,58641,4078,3751,57,44,13
Jasper,55627,4564,4136,73,67,6
Wapello,50771,4713,4202,122,118,4
Sioux,48517,5359,5091,74,71,3
Poweshiek,48087,1650,1537,36,33,3
Buena Vista,47353,4972,4221,40,36,4
Boone,46902,2871,2649,34,31,3
Marion,45476,3867,3588,76,65,11
Washington,44696,2747,2506,51,47,4
Bremer,42665,3026,2804,62,52,10
Winneshiek,42487,2073,1937,35,30,5
Plymouth,40700,4343,3944,81,73,8
Benton,40291,2774,2519,55,44,11
Carroll,39218,3084,2821,52,43,9
Henry,39066,3104,2903,37,36,1
Fayette,38592,1955,1817,43,38,5
Hardin,37832,2009,1828,44,34,10
Tama,34774,2253,2036,71,67,4
Cedar,33922,2017,1887,23,21,2
Buchanan,33814,2056,1892,34,27,7
Mahaska,33645,2437,2262,51,46,5
Clay,32875,2279,2134,27,22,5
Iowa,31648,1561,1477,24,22,2
Delaware,31326,2159,2064,43,38,5
Butler,31303,1759,1621,35,31,4
Crawford,30003,2932,2646,41,35,6
Dickinson,29202,2688,2449,44,38,6
Jones,28641,3141,2948,57,51,6
Kossuth,28061,2286,2101,66,57,9
Jackson,28058,2388,2208,42,39,3
Floyd,27663,1815,1583,42,32,10
O'Brien,27597,2153,1940,61,56,5
Clayton,27336,1799,1658,57,48,9
Hamilton,24694,2012,1765,51,46,5
Hancock,23470,1604,1462,34,27,7
Page,22919,2012,1919,22,20,2
Allamakee,22911,1588,1471,52,42,10
Jefferson,22689,1459,1305,35,29,6
Madison,22638,1790,1626,19,15,4
Harrison,22483,1935,1724,73,69,4
Mills,22388,1809,1609,24,21,3
Cherokee,22323,1698,1552,38,30,8
Sac,21979,1397,1292,20,19,1
Wright,21872,1933,1820,40,33,7
Cass,21847,1475,1341,55,49,6
Franklin,21741,1345,1197,23,21,2
Grundy,20357,1454,1337,33,27,6
Guthrie,20092,1317,1199,32,26,6
Palo Alto,20071,1196,1110,23,22,1
Calhoun,19819,1445,1375,13,12,1
Mitchell,19356,1378,1233,43,40,3
Appanoose,19349,1468,1238,49,44,5
Winnebago,19173,1560,1404,31,26,5
Monona,19015,898,807,31,29,2
Chickasaw,18861,1320,1233,17,14,3
Louisa,18753,1365,1246,49,42,7
Union,18543,1382,1259,35,27,8
Shelby,18305,1380,1279,37,33,4
Emmet,18182,1438,1308,41,39,2
Howard,17912,1101,1023,22,18,4
Lyon,17576,1602,1548,41,37,4
Keokuk,16695,1039,932,32,31,1
Humboldt,16274,1247,1170,26,23,3
Greene,15821,830,769,11,10,1
Montgomery,15120,1116,999,38,36,2
Worth,14565,805,750,8,7,1
Pocahontas,14462,902,839,22,22,0
Clarke,14433,1072,981,24,22,2
Audubon,13950,553,504,11,10,1
Ida,13259,1028,875,35,32,3
Adair,12856,996,842,32,22,10
Davis,12058,926,821,25,23,2
Decatur,11017,633,608,9,9,0
Ringgold,10676,583,540,24,18,6
Monroe,10441,1011,928,31,23,8
Lucas,10189,807,759,23,18,5
Osceola,9787,816,774,17,14,3
Taylor,9507,690,653,12,10,2
Van Buren,9206,590,545,18,15,3
Pending Investigation,8129,983,948,0,0,0
Fremont,8045,663,621,9,7,2
Wayne,7805,584,520,23,18,5
Adams,6236,356,341,4,4,0
