County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,238078,47409,41300,468,423,45
Linn,102442,18261,16396,281,256,25
Scott,75832,16062,14221,173,164,9
Johnson,69934,12398,11035,55,51,4
Black Hawk,61564,14251,12770,246,232,14
Woodbury,52667,13183,12176,182,169,13
Dubuque,51131,11754,10509,160,151,9
Story,49219,8920,8025,38,33,5
Dallas,46972,9209,7919,72,61,11
Pottawattamie,42319,9244,8238,115,102,13
Warren,24300,4676,3807,41,39,2
Cerro Gordo,21315,4785,4307,72,61,11
Webster,19531,4760,4404,77,66,11
Clinton,19335,4644,4117,69,63,6
Muscatine,18880,3979,3509,81,74,7
Des Moines,18699,3997,3509,43,39,4
Marshall,18281,4349,4043,62,58,4
Jasper,15623,3360,2867,61,58,3
Wapello,15145,3557,3056,98,96,2
Sioux,14127,4615,4288,59,57,2
Lee,14016,3313,2860,34,28,6
Marion,13569,3136,2711,53,46,7
Buena Vista,13538,3994,3710,31,28,3
Boone,11983,2258,1909,18,16,2
Plymouth,11916,3547,3298,70,63,7
Benton,11034,2152,1937,50,40,10
Bremer,10468,2513,2263,48,44,4
Washington,10434,2253,1886,33,32,1
Carroll,10230,2592,2354,36,30,6
Henry,9773,2702,2447,32,32,0
Dickinson,9216,1905,1694,29,26,3
Mahaska,9173,2003,1710,37,33,4
Pending Investigation,8827,1055,713,0,0,0
Jones,8765,2763,2563,50,48,2
Winneshiek,8733,1631,1370,20,18,2
Buchanan,8230,1640,1434,24,22,2
Fayette,8059,1685,1399,24,22,2
Jackson,7932,1974,1759,32,31,1
Cedar,7931,1570,1383,19,18,1
Crawford,7887,2362,2109,24,21,3
Poweshiek,7495,1368,1196,24,22,2
Tama,7474,1925,1719,59,57,2
Clay,7375,1742,1531,21,17,4
Hardin,7307,1596,1440,31,28,3
Wright,7203,1684,1514,25,23,2
Iowa,7158,1296,1127,22,21,1
Delaware,7010,1777,1598,36,32,4
Mills,6955,1394,1274,17,16,1
Kossuth,6902,1827,1528,44,41,3
Floyd,6780,1424,1256,37,29,8
Jefferson,6638,1231,1021,25,22,3
Madison,6626,1269,970,10,9,1
Hamilton,6602,1633,1464,30,29,1
Clayton,6157,1547,1364,49,41,8
Butler,6127,1528,1273,26,23,3
O'Brien,5922,1720,1551,55,51,4
Union,5910,1132,1013,24,22,2
Harrison,5805,1593,1386,63,59,4
Cass,5551,1162,1007,44,42,2
Winnebago,5388,1234,1079,29,24,5
Page,5371,1492,1376,15,14,1
Cherokee,5322,1409,1223,27,23,4
Allamakee,5298,1317,1154,30,26,4
Appanoose,5250,1137,945,40,39,1
Hancock,5229,1339,1167,24,19,5
Grundy,5047,1237,1097,28,23,5
Guthrie,4966,1050,937,24,19,5
Mitchell,4940,1174,1018,37,36,1
Louisa,4837,1176,1042,31,26,5
Calhoun,4789,1245,1167,9,9,0
Sac,4742,1135,1034,15,15,0
Chickasaw,4717,1141,1046,12,11,1
Shelby,4678,1091,925,27,27,0
Franklin,4540,1046,889,18,17,1
Emmet,4478,1113,981,32,31,1
Humboldt,4247,1079,963,19,16,3
Clarke,4184,823,679,9,9,0
Lyon,4078,1387,1238,33,30,3
Palo Alto,3958,926,807,11,10,1
Howard,3873,879,711,19,15,4
Montgomery,3861,903,752,25,24,1
Greene,3677,700,646,7,7,0
Keokuk,3595,864,780,26,26,0
Lucas,3336,673,572,11,10,1
Monona,3299,715,540,18,17,1
Worth,3255,626,524,4,3,1
Adair,3191,699,595,22,18,4
Pocahontas,3151,788,708,11,11,0
Decatur,3028,502,433,4,4,0
Monroe,2957,830,657,20,17,3
Ida,2842,772,673,30,29,1
Davis,2823,708,632,21,20,1
Fremont,2377,529,467,6,4,2
Van Buren,2359,510,442,16,13,3
Taylor,2259,607,547,9,7,2
Audubon,2250,428,367,8,8,0
Osceola,2170,651,606,11,9,2
Ringgold,2113,466,358,11,10,1
Wayne,1958,422,365,21,17,4
Adams,1394,305,267,3,3,0
