County,Number of Doses
Polk,575897
Linn,263967
Johnson,189550
Scott,164259
Black Hawk,139426
Dubuque,111212
Story,109598
Dallas,108948
Woodbury,94621
Pottawattamie,87706
Warren,54284
Cerro Gordo,47251
Marshall,43502
Clinton,43320
Muscatine,42407
Jasper,38146
Webster,36360
Des Moines,35537
Boone,30158
Marion,30011
Wapello,29191
Lee,28516
Bremer,26603
Benton,26228
Sioux,25180
Plymouth,22151
Washington,22057
Winneshiek,22056
Carroll,21619
Jones,21334
Buena Vista,21008
Buchanan,20473
Cedar,19705
Poweshiek,19537
Fayette,19295
Jackson,18735
Dickinson,18219
Henry,18051
Tama,18016
Iowa,18001
Mahaska,16946
Hardin,16309
Hamilton,16296
Delaware,16186
Madison,15800
Jefferson,15574
Clay,15275
Butler,15177
Crawford,15061
Floyd,14807
Clayton,14696
Page,14097
Kossuth,13903
Grundy,13515
Mills,13477
Cass,13314
O'Brien,12332
Wright,12307
Allamakee,12237
Harrison,12145
Shelby,12139
Chickasaw,11272
Union,11250
Guthrie,11203
Cherokee,10806
Appanoose,10260
Calhoun,10201
Franklin,9653
Montgomery,9638
Mitchell,9478
Winnebago,9451
Louisa,9366
Hancock,9280
Sac,9162
Greene,9046
Clarke,8592
Humboldt,8441
Emmet,8438
Keokuk,8379
Howard,8173
Monona,8079
Palo Alto,8053
Lyon,7544
Worth,6920
Lucas,6785
Pocahontas,6316
Adair,6252
Monroe,6200
Davis,5852
Audubon,5797
Ida,5797
Decatur,5557
Fremont,5543
Van Buren,5224
Taylor,5149
Wayne,4804
Osceola,4749
Ringgold,4678
Adams,3493
.,78
