County,Series Initiated,Series Completed
Polk,54008,30393
Linn,25008,14966
Johnson,22594,16536
Scott,18902,7587
Black Hawk,17203,7482
Dubuque,12154,7816
Woodbury,11705,5520
Pottawattamie,11400,6750
Story,9774,5045
Cerro Gordo,6465,3511
Dallas,6387,3841
Des Moines,5480,2013
Clinton,4121,1421
Warren,4045,1946
Webster,3969,2392
Jasper,3514,2158
Marion,3298,1042
Lee,3223,1745
Plymouth,3150,391
Wapello,3116,1471
Sioux,3103,1250
Marshall,3088,1026
Bremer,2999,2720
Muscatine,2735,1032
Jackson,2573,563
Boone,2542,1639
Tama,2396,479
Poweshiek,2329,458
Clay,2227,1898
Benton,2206,927
Clayton,2195,518
Washington,2187,475
Kossuth,2173,350
Dickinson,2137,754
Fayette,2136,553
Mahaska,2072,443
Iowa,2066,432
Buena Vista,2065,678
Carroll,2058,1690
Floyd,2050,355
Winneshiek,1918,849
Cedar,1912,670
Page,1904,862
Madison,1902,391
Buchanan,1892,733
Hamilton,1867,532
Butler,1798,201
Crawford,1767,545
Henry,1709,663
Cass,1687,606
Jones,1618,618
Allamakee,1616,435
Jefferson,1574,575
O'Brien,1573,764
Hardin,1396,827
Sac,1395,254
Shelby,1367,618
Union,1338,478
Mills,1334,721
Cherokee,1325,607
Harrison,1293,330
Louisa,1261,153
Guthrie,1206,340
Grundy,1185,500
Franklin,1179,304
Mitchell,1177,325
Calhoun,1149,556
Hancock,1132,350
Appanoose,1109,421
Delaware,1107,774
Lyon,1072,233
Chickasaw,1063,248
Davis,1051,168
Wright,1045,619
Wayne,989,397
Greene,969,309
Emmet,958,269
Lucas,939,198
Winnebago,930,379
Taylor,929,147
Palo Alto,845,533
Monroe,830,362
Montgomery,785,519
Monona,749,283
Humboldt,720,379
Adair,707,163
Fremont,672,147
Howard,661,282
Audubon,658,328
Ida,657,256
Clarke,628,258
Worth,625,178
Decatur,623,233
Out of State,607,3219
Ringgold,595,348
Pocahontas,584,150
Osceola,566,171
Keokuk,551,229
Van Buren,521,149
Adams,507,195
