County,Series Initiated,Series Completed
Polk,52847,24969
Linn,21306,11840
Johnson,19883,14761
Scott,15582,7005
Black Hawk,14781,5883
Dubuque,9795,6577
Pottawattamie,9729,6259
Woodbury,8826,5296
Story,7519,4499
Dallas,6239,2721
Cerro Gordo,6069,2756
Des Moines,4393,1843
Warren,3643,1625
Webster,3626,1937
Jasper,3272,1871
Clinton,3055,1376
Plymouth,2794,387
Lee,2611,1611
Sioux,2555,1083
Marion,2522,998
Bremer,2444,2518
Marshall,2425,929
Wapello,2331,1376
Muscatine,2031,984
Jackson,1980,504
Boone,1966,1557
Tama,1899,411
Clay,1824,1773
Carroll,1774,1606
Kossuth,1772,343
Fayette,1769,508
Winneshiek,1767,786
Clayton,1725,516
Benton,1698,864
Iowa,1694,352
Poweshiek,1690,406
Cedar,1592,524
Buena Vista,1592,611
Buchanan,1580,642
Mahaska,1561,358
Floyd,1559,336
Henry,1546,634
Dickinson,1539,625
Hamilton,1495,506
Washington,1483,419
Page,1474,791
Butler,1464,200
Madison,1441,319
Crawford,1438,441
Jones,1363,618
Jefferson,1358,498
Allamakee,1333,372
Cass,1282,602
Hardin,1268,609
Shelby,1222,496
Harrison,1222,199
O'Brien,1203,693
Grundy,1164,416
Mills,1132,518
Sac,1125,230
Union,1052,414
Mitchell,1014,238
Delaware,994,640
Franklin,990,256
Cherokee,976,570
Wright,952,515
Calhoun,940,453
Louisa,924,133
Guthrie,912,331
Lyon,898,189
Winnebago,886,229
Hancock,867,333
Appanoose,853,371
Taylor,807,97
Chickasaw,755,219
Davis,753,167
Monroe,730,202
Lucas,727,180
Emmet,691,239
Montgomery,665,373
Monona,656,259
Ringgold,649,217
Greene,628,283
Out of State,612,3219
Worth,611,90
Palo Alto,601,444
Fremont,587,126
Howard,581,248
Ida,577,246
Pocahontas,572,141
Humboldt,566,319
Wayne,566,395
Audubon,553,323
Van Buren,541,108
Adair,525,148
Decatur,489,224
Osceola,477,160
Keokuk,474,199
Clarke,472,240
Adams,466,125
