County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,47526,86691,1159,223483
Linn,24695,44850,3529,116915
Scott,19962,28822,1016,79565
Johnson,15941,41029,343,98795
Black Hawk,15052,28383,2442,74407
Dubuque,13687,23762,319,61519
Story,10806,16108,396,43296
Pottawattamie,10203,19076,3599,52771
Woodbury,9114,18321,1290,46593
Dallas,7859,12013,1057,32375
Cerro Gordo,7054,10827,1019,29594
Cass,5366,2360,0,10090
Clinton,5352,5324,168,16162
Webster,5160,6293,500,18235
Fayette,4848,2845,200,10718
Des Moines,4609,8137,299,21005
Muscatine,4052,4393,1293,14117
Marion,4038,4276,2467,15041
Warren,3932,6378,101,16503
Marshall,3821,3646,1775,12854
Lee,3679,4867,248,13823
Bremer,3382,5560,110,14572
Wapello,3288,4778,0,12846
Boone,3189,4135,97,11507
Jasper,2914,5698,101,14164
Winneshiek,2854,2618,1,8085
Allamakee,2736,1977,0,6690
Sioux,2720,4418,1340,12888
Henry,2577,2277,104,7251
Jefferson,2556,2249,95,7147
Clay,2385,4285,0,10881
Poweshiek,2284,2864,0,8009
Hamilton,2217,2511,0,7253
Mitchell,2211,1464,0,5141
Mahaska,2187,2578,0,7331
Emmet,2167,1321,1,4831
Clayton,2159,2687,0,7531
Clarke,2141,908,1107,5045
Benton,2126,2959,0,8047
Madison,2049,2394,0,6838
Washington,2049,2431,1,6910
Tama,2011,2932,649,8432
Dickinson,1942,3296,0,8520
Kossuth,1928,2546,0,7017
Buchanan,1910,2585,0,7069
Appanoose,1895,1547,0,4977
Floyd,1879,2521,145,7051
Carroll,1876,3813,600,10127
Cedar,1865,2640,0,7140
Hardin,1832,2352,65,6589
Shelby,1771,2148,33,6098
Page,1743,3038,95,7906
Crawford,1700,2467,1267,7891
Wright,1691,1805,1323,6601
Grundy,1673,1695,0,5066
Calhoun,1645,1676,0,4995
Buena Vista,1623,2866,2437,9852
Mills,1590,2172,0,5929
O'Brien,1548,2493,0,6545
Decatur,1468,908,0,3256
Union,1397,1786,0,4967
Franklin,1382,1412,0,4201
Guthrie,1372,1547,0,4449
Palo Alto,1325,1400,0,4125
Davis,1318,1215,1477,5214
Plymouth,1315,3724,2513,11276
Jones,1291,2383,0,6102
Jackson,1290,4307,0,9895
Cherokee,1228,2152,80,5612
Winnebago,1213,1359,0,3928
Delaware,1210,1931,100,5168
Lucas,1176,1148,96,3560
Butler,1126,1946,0,5017
Sac,1069,1624,0,4317
Wayne,1016,1356,0,3729
Humboldt,1003,1190,0,3379
Harrison,943,1563,0,4070
Louisa,936,1501,1389,5318
Lyon,912,1292,0,3492
Iowa,890,2449,0,5785
Greene,883,1275,100,3531
Taylor,871,1085,0,3039
Adams,857,729,0,2312
Monroe,851,1333,99,3609
Adair,835,845,0,2514
Chickasaw,828,1282,0,3388
Hancock,756,1474,0,3701
Ringgold,708,934,0,2564
Montgomery,627,1439,99,3605
Audubon,618,980,0,2579
Howard,599,921,0,2439
Monona,487,1017,0,2514
Fremont,476,805,0,2086
Worth,471,797,0,2061
Van Buren,445,627,0,1698
Osceola,432,733,0,1899
Pocahontas,424,907,95,2333
Ida,420,898,0,2220
Keokuk,414,775,0,1963
Out of State,293,4255,0,8353
