Age Group Public,RECIP_ID
0 - 11,9
12 - 15,88045
16 - 17,58598
18 - 19,68052
20 - 29,342130
30 - 39,379284
40 - 49,391605
50 - 59,478026
60 - 64,295568
65+,922446
