County,Series Initiated,Series Completed
Polk,47718,21237
Johnson,18557,13817
Linn,17668,10102
Scott,14159,5686
Black Hawk,12351,4925
Dubuque,8914,5205
Pottawattamie,8516,5751
Woodbury,7556,4130
Story,6082,4282
Dallas,5673,2295
Cerro Gordo,5517,2411
Des Moines,3434,1576
Warren,3397,1415
Webster,3340,1562
Jasper,3097,1696
Clinton,2981,1071
Lee,2415,1370
Plymouth,2386,356
Bremer,2343,2104
Marion,2181,962
Wapello,2120,1138
Clay,2086,1144
Sioux,2083,1036
Marshall,1859,910
Boone,1841,1408
Muscatine,1748,845
Carroll,1606,1415
Jackson,1591,477
Benton,1525,686
Kossuth,1519,339
Winneshiek,1480,711
Fayette,1461,479
Floyd,1459,299
Poweshiek,1345,388
Buchanan,1312,633
Tama,1300,389
Hardin,1280,577
Cedar,1247,492
Clayton,1239,515
Dickinson,1236,552
Henry,1212,567
Washington,1180,279
Hamilton,1172,505
Mahaska,1164,327
Iowa,1145,348
Jefferson,1127,482
Grundy,1111,376
Crawford,1103,391
Buena Vista,1090,570
Butler,1063,162
Page,1063,700
Madison,1056,276
Jones,1050,617
Allamakee,1031,321
Cass,1027,502
Harrison,983,188
Franklin,966,187
Mills,952,478
Sac,948,217
O'Brien,911,683
Union,886,381
Delaware,860,570
Cherokee,806,509
Shelby,805,495
Calhoun,782,421
Appanoose,759,312
Winnebago,753,190
Louisa,748,124
Lyon,724,189
Guthrie,719,271
Lucas,669,169
Taylor,654,95
Davis,640,157
Monroe,630,149
Palo Alto,624,404
Greene,614,260
.,614,3219
Ringgold,610,207
Mitchell,610,230
Wright,593,462
Chickasaw,592,212
Worth,580,70
Emmet,564,238
Montgomery,552,354
Hancock,551,309
Wayne,544,210
Monona,486,214
Fremont,482,111
Audubon,451,314
Humboldt,448,308
Osceola,438,139
Adair,436,147
Decatur,426,196
Clarke,410,200
Howard,399,221
Keokuk,392,199
Pocahontas,385,129
Adams,379,116
Ida,357,241
Van Buren,344,95
