Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.18124267291910904,American Indian or Alaska Native
Asian,0.39067273743149585,Asian
Black,0.21291908980914094,Black
Native Hawaiian or Other Pacific Islander,0.3701082431307244,Native Hawaiian or Other Pacific Islander
Other Race,0.5507253400536332,Other Race
White,0.430172992710942,White
