Age Group Public,RECIP_ID
0 - 11,7
12 - 15,78442
16 - 17,55355
18 - 19,65402
20 - 29,333677
30 - 39,371649
40 - 49,384504
50 - 59,470833
60 - 64,292350
65+,917615
