RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,0.5272981734572926,244083,14378
19161,0.43153996502417449,3828,367
19027,0.511133151500124,9242,1065
19013,0.4859100192032188,58115,5650
19017,0.49636900486792759,11336,1104
19019,0.4383471074380165,8623,659
19103,0.5937078205637157,84567,5166
19195,0.4233843652621596,2930,195
19033,0.5107184923439341,19875,1805
19081,0.40921919096895578,3863,487
19169,0.5213299422346243,47676,2954
19139,0.4868976186011626,16511,4262
19165,0.48917408765496769,5359,244
19009,0.4976346433770015,2575,160
19191,0.522535140813366,9527,919
19065,0.4488549618320611,8197,623
19061,0.5314712622416787,49858,1860
19147,0.42032410533423367,3493,242
19183,0.46391987252447078,9437,753
19003,0.43753470294280957,1505,71
19173,0.38539454337526549,2275,84
19041,0.43394105894105897,6541,409
19125,0.4235106606922684,11846,2237
19123,0.3493550577053632,6876,843
19157,0.48200389105058369,8445,474
19099,0.4720989646362781,15886,1669
19073,0.4736723672367237,3678,532
19113,0.5404576852840243,113541,8984
19049,0.5263715450547334,46586,2605
19193,0.4123677344894139,37792,4726
19171,0.4913373679838614,7387,894
19109,0.4461621548639708,6026,583
19187,0.464572192513369,15182,1498
19011,0.46890232014037827,11081,944
19141,0.4210717661601105,5238,553
19045,0.42589760709901139,18235,1539
19067,0.4368367216468482,6223,610
19189,0.43751207262893568,3937,593
19131,0.40468543359153599,4059,225
19029,0.4830165160486133,5812,388
19135,0.38393668093940577,2608,351
19127,0.5134242678249384,17355,2858
19063,0.41789748045178107,3521,327
19159,0.42644053943604418,2044,43
19115,0.41259628454916177,3474,1079
19163,0.430286279294334,68857,5558
19149,0.42522937601779406,8563,2143
19059,0.48279058987136405,8036,296
19093,0.3997084548104956,2311,431
19015,0.5307616070747885,13103,821
19075,0.5085840418574231,5674,547
19091,0.4110692613517472,3532,397
19151,0.43843480888351718,2660,242
19055,0.44018576215390045,6604,884
19101,0.3944793659469801,6480,737
19005,0.39782275151603715,5209,236
19181,0.4768002176193992,23038,1501
19025,0.48913942904426979,4356,373
19083,0.4546479876528553,6708,951
19069,0.43346573982125127,3970,395
19023,0.4854906849504813,6538,472
19133,0.43110853163087639,3461,253
19085,0.3918428357890241,5125,380
19137,0.4474135323182414,3893,544
19111,0.3947470065662418,11585,1701
19037,0.44674432246710807,4591,740
19197,0.47420792867377806,5001,956
19179,0.39366295862049247,11292,2474
19121,0.4369567878565308,6766,373
19095,0.5164359861591695,7615,743
19143,0.38502853306478687,2059,235
19051,0.2992222222222222,2517,176
19047,0.4258026159334126,5801,1361
19145,0.4276163367975111,5912,548
19043,0.40076357627215228,6436,597
19057,0.4013395950419586,14689,950
19007,0.3777563173990021,4249,445
19107,0.3767323833691197,3546,314
19077,0.4865749836280288,4824,377
19129,0.3975114170362036,5707,299
19021,0.5021916411824668,6801,3052
19087,0.43344692793424879,6991,1658
19053,0.3237611181702668,2297,251
19155,0.41342832006523186,36300,2234
19079,0.5162120083936912,6917,709
19035,0.44263462394303518,4573,400
19001,0.41303131991051458,2617,337
19175,0.4179397108079405,4825,291
19167,0.34121359919667196,10127,1766
19089,0.4182135837519109,3325,505
19119,0.29987239472564866,3317,208
19185,0.34280391243595717,2017,191
19039,0.43342203299627465,3330,742
19117,0.3740697674418605,2790,427
19031,0.4947119772373436,8513,702
19071,0.3728448275862069,2396,199
19177,0.33503691084611017,2124,236
19097,0.4397345542466176,8139,409
19105,0.491900778492336,9074,1099
,,32,4
