County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,636367,61198,51174,579,515,64
Linn,268595,21139,19108,324,291,33
Black Hawk,199761,16652,14622,300,279,21
Johnson,194278,14312,13011,78,73,5
Scott,192195,19263,16950,226,207,19
Dubuque,174605,13899,12208,200,186,14
Story,151344,10725,9527,46,40,6
Woodbury,134921,15732,13573,217,199,18
Dallas,119041,11933,10080,95,83,12
Pottawattamie,110642,11290,9693,152,134,18
Marshall,76592,5092,4562,74,66,8
Cerro Gordo,71298,5469,4898,85,71,14
Warren,70349,5843,5036,80,71,9
Webster,64799,5309,4853,89,75,14
Clinton,57570,5639,4923,87,76,11
Des Moines,52288,4670,4223,64,53,11
Lee,50546,3861,3570,55,42,13
Muscatine,50383,4736,4144,95,86,9
Jasper,47963,4351,3816,69,64,5
Wapello,43845,4570,3909,116,112,4
Buena Vista,42315,4811,4075,39,35,4
Boone,41399,2691,2399,31,29,2
Sioux,40874,5121,4715,69,66,3
Poweshiek,39084,1584,1454,32,29,3
Marion,39068,3703,3342,74,64,10
Washington,38044,2606,2351,49,45,4
Bremer,36179,2890,2623,57,48,9
Plymouth,35450,4129,3596,79,71,8
Winneshiek,35388,1963,1795,31,26,5
Benton,34709,2630,2338,54,44,10
Henry,33962,2967,2759,37,36,1
Carroll,33908,2934,2618,49,42,7
Fayette,32892,1896,1747,39,34,5
Hardin,32041,1877,1658,40,33,7
Tama,30615,2175,1945,68,65,3
Mahaska,28755,2298,2096,49,44,5
Buchanan,28492,1935,1732,31,26,5
Cedar,28458,1865,1688,23,21,2
Butler,27722,1696,1549,33,29,4
Iowa,27651,1499,1370,23,21,2
Clay,27571,2113,1812,25,20,5
Crawford,25910,2821,2496,36,31,5
Delaware,25323,1986,1813,39,35,4
Dickinson,24279,2417,1984,41,35,6
Kossuth,24026,2179,1927,58,51,7
Jones,24025,2997,2791,55,51,4
O'Brien,24012,2062,1763,58,54,4
Jackson,23788,2269,2058,42,39,3
Floyd,23629,1685,1431,41,31,10
Clayton,23106,1707,1554,55,46,9
Hamilton,22134,1943,1696,46,43,3
Mills,20142,1709,1464,20,17,3
Allamakee,19822,1534,1373,49,39,10
Page,19813,1914,1787,19,18,1
Harrison,19800,1834,1600,71,67,4
Hancock,19705,1502,1342,33,27,6
Wright,19663,1833,1704,34,27,7
Cherokee,19524,1641,1408,37,29,8
Cass,19494,1398,1235,53,48,5
Jefferson,19096,1412,1259,35,29,6
Madison,19075,1637,1427,19,15,4
Sac,18447,1309,1165,18,18,0
Franklin,18420,1208,1065,21,19,2
Grundy,18138,1410,1290,31,26,5
Calhoun,17207,1374,1281,11,11,0
Monona,17051,843,738,30,28,2
Palo Alto,17018,1111,985,22,20,2
Guthrie,16998,1232,1070,28,23,5
Appanoose,16631,1420,1185,47,43,4
Mitchell,16448,1353,1174,41,38,3
Winnebago,16311,1435,1271,31,26,5
Chickasaw,16230,1276,1180,15,13,2
Louisa,16148,1309,1181,48,41,7
Union,15982,1300,1163,32,26,6
Howard,15817,1065,969,22,18,4
Shelby,15687,1295,1118,34,31,3
Emmet,15553,1295,1103,40,38,2
Keokuk,14612,1004,893,30,30,0
Humboldt,14493,1223,1106,26,23,3
Lyon,14360,1506,1417,41,37,4
Greene,13879,800,719,10,10,0
Montgomery,13339,1056,932,36,34,2
Clarke,12541,1033,925,23,22,1
Pocahontas,12082,871,794,19,19,0
Worth,11810,715,657,8,7,1
Pending Investigation,11799,1034,933,0,0,0
Adair,11618,957,781,32,22,10
Ida,11525,985,772,32,30,2
Audubon,11117,500,460,9,8,1
Davis,10248,856,739,24,23,1
Decatur,9884,596,565,9,9,0
Ringgold,9123,547,488,22,18,4
Monroe,9074,954,867,28,21,7
Lucas,8718,774,691,22,18,4
Taylor,7997,668,630,12,10,2
Van Buren,7877,571,521,18,15,3
Osceola,7800,738,667,16,13,3
Fremont,6781,613,545,10,8,2
Wayne,6143,552,431,23,18,5
Adams,5140,330,315,4,4,0
