ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,64608,13538,25152,924
19125,21792,3563,7281,3677
19013,105192,15702,42344,4521
19083,10840,1449,4131,1143
19099,19817,3433,8089,495
19147,5696,615,2483,82
19067,10540,1479,4181,713
19109,10083,1166,4268,376
19063,8123,1647,3049,297
19153,329080,73829,123721,6740
19127,20836,4394,6996,2509
19081,5483,597,2168,552
19139,23438,3948,7674,4098
19193,66918,9258,27669,2752
19103,133433,21211,54631,2757
19091,6752,1242,2582,315
19101,11895,1375,4877,754
19167,18097,2215,6763,2345
19149,14077,1664,4813,2778
19047,10895,1399,4016,1458
19049,54387,15055,19356,1467
19179,18484,2770,7639,436
19163,120180,18671,48250,3925
19171,12279,2291,4575,940
19143,2530,332,1039,120
19055,7743,972,3091,599
19017,20479,2828,8364,952
19065,17452,2044,7309,809
19187,26181,4845,10222,829
19021,13438,1712,4242,3160
19035,7608,1053,3196,170
19197,9156,865,3416,1481
19033,39644,5706,16411,1134
19079,10939,1931,4311,325
19155,69022,8944,27399,4293
19037,4882,684,1953,298
19029,17636,2174,7592,228
19117,5591,1093,2101,306
19039,7987,776,2996,1249
19095,9124,2173,3245,467
19087,11349,1860,4442,577
19041,13711,1328,6184,50
19113,172176,32205,67269,6706
19031,10349,1411,4383,201
19137,5424,898,2011,499
19145,10844,1559,4328,627
19189,6466,1094,2487,387
19015,16878,2629,7018,279
19061,91810,16017,37403,1081
19057,28448,4145,11917,537
19133,3337,496,1375,105
19011,11407,1435,4804,357
19043,10989,1293,4569,571
19141,8924,921,3887,225
19111,19675,2674,7820,1152
19045,24407,4236,9540,1043
19165,9238,1431,3874,38
19097,12647,1564,5489,122
19175,7325,1416,2956,114
19003,3086,441,1289,0
19019,10130,1389,4282,190
19005,9661,1054,4290,45
19181,24750,5452,9567,474
19191,12182,1669,4980,514
19183,10582,2338,3933,380
19073,6576,2120,2082,335
19027,14926,3679,5238,768
19157,12866,3209,4815,138
19129,8539,1787,3331,85
19059,11819,2194,4757,115
19135,5196,792,2105,199
19007,7521,900,3109,374
19075,7611,1096,3155,200
19051,6896,905,2219,1578
19115,6858,712,2341,1493
,8407,256,4255,0
19131,7436,718,3353,0
19025,7124,1037,2990,100
19085,5575,1084,2154,187
19093,3003,273,1183,361
19121,10625,2056,4250,78
19185,5205,998,1931,332
19009,3580,351,1568,96
19159,3455,456,1487,0
19123,11441,2127,4529,249
19023,6720,760,2946,65
19071,2845,314,1228,72
19173,3927,322,1773,0
19069,6058,646,2620,175
19119,4902,689,2096,25
19089,3298,655,1284,87
19053,4976,746,2056,105
19077,6802,1138,2749,176
19105,8941,1544,3377,605
19161,5670,830,2419,0
19001,3819,405,1581,254
19151,3109,537,1222,130
19195,2789,393,1200,0
19177,2474,418,994,69
19107,2750,296,1177,100
