County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,34174,219514,10981,483897
Linn,11848,109356,8040,237347
Scott,9381,70908,5677,158095
Johnson,8761,82308,3846,176854
Story,6416,44024,2547,96202
Black Hawk,6269,60590,5776,133457
Pottawattamie,5307,39653,4740,90284
Dallas,4943,38996,2207,83723
Woodbury,4607,38745,4548,86239
Dubuque,4477,55429,1973,117116
Cerro Gordo,2519,22593,1662,49430
Des Moines,2190,16128,667,35147
Clinton,1851,14597,1405,32524
Warren,1770,15496,883,33476
Webster,1612,15590,1038,34105
Marshall,1557,12017,2625,28146
Muscatine,1458,12372,4719,31054
Jasper,1189,12659,1029,27338
Bremer,1166,11181,1154,24675
Lee,1147,10832,1714,24766
Wapello,1114,10932,599,23692
Tama,1082,7395,964,16863
Boone,1045,10203,507,21912
Marion,952,11053,3981,27192
Winneshiek,838,7234,948,16242
Jefferson,833,6638,915,15025
Carroll,829,8801,1048,19644
Buena Vista,761,6212,3276,16552
Page,714,6249,705,13953
Washington,700,6582,495,14365
Poweshiek,665,8493,400,17953
Clay,655,7609,221,16040
Mills,654,4957,139,10723
Sioux,644,9299,2567,21823
Emmet,609,4392,351,9859
Mahaska,587,6863,471,14826
Fayette,577,9524,879,20519
Dickinson,571,7067,208,14916
Cass,571,9655,399,20499
Plymouth,568,6505,2872,16486
Henry,520,6789,1748,15898
Kossuth,504,5451,461,11913
Wright,504,4375,1659,10893
Jackson,454,7512,237,15703
Jones,452,5670,804,12651
Benton,431,7063,437,15009
Union,431,4446,266,9499
Crawford,420,5583,1566,13176
Greene,393,4046,476,9035
O'Brien,384,4871,314,10448
Buchanan,382,5775,296,12227
Guthrie,379,4001,234,8630
Madison,377,6542,144,13661
Hardin,377,5749,1281,13208
Clarke,367,3833,1333,9377
Cedar,361,5828,262,12250
Grundy,354,4309,351,9333
Hamilton,352,6488,396,13878
Iowa,351,5350,578,11652
Floyd,346,5937,982,13221
Allamakee,343,5344,105,11141
Appanoose,328,3946,456,8769
Delaware,306,4277,726,9549
Winnebago,304,3625,479,8053
Montgomery,298,2988,556,6855
Shelby,297,5417,106,11284
Harrison,293,3185,220,6894
Humboldt,273,3725,370,8234
Monroe,260,2927,267,6409
Cherokee,254,4395,240,9293
Out of State,248,5211,1,10368
Lucas,236,3141,376,6989
Clayton,230,5821,642,12559
Franklin,220,3257,227,6974
Davis,215,3057,1649,8006
Adair,214,2049,324,4576
Wayne,203,2800,370,6274
Mitchell,200,4160,129,8667
Decatur,199,2714,118,5838
Palo Alto,185,3143,140,6641
Monona,180,1967,172,4270
Howard,176,1983,159,4286
Louisa,168,3084,1516,7829
Chickasaw,143,2650,316,5752
Hancock,133,2868,704,6573
Ringgold,121,1963,4,4104
Adams,114,1590,6,3482
Lyon,113,2889,69,5968
Sac,110,3182,45,6537
Pocahontas,104,1791,144,3833
Calhoun,99,4038,162,8367
Ida,99,1507,478,3589
Butler,96,3769,155,7805
Taylor,92,2138,15,4407
Worth,87,1645,1,3375
Fremont,85,1541,94,3262
Audubon,80,1927,101,4032
Van Buren,74,1389,99,2953
Keokuk,61,1530,100,3219
Osceola,56,1435,158,3084
