Age Group Public,RECIP_ID
0 - 11,4
12 - 15,68494
16 - 17,52255
18 - 19,62871
20 - 29,324577
30 - 39,363789
40 - 49,377258
50 - 59,463587
60 - 64,288944
65+,911729
