ADMIN_DATE,RECIP_ID
2020-12-14,178
2020-12-15,564
2020-12-16,1387
2020-12-17,1700
2020-12-18,2679
2020-12-19,432
2020-12-20,93
2020-12-21,2613
2020-12-22,4955
2020-12-23,9256
2020-12-24,1792
2020-12-25,1
2020-12-26,605
2020-12-27,493
2020-12-28,8666
2020-12-29,7507
2020-12-30,9668
2020-12-31,5062
2021-01-01,239
2021-01-02,1974
2021-01-03,1381
2021-01-04,6116
2021-01-05,7477
2021-01-06,8675
2021-01-07,8207
2021-01-08,10508
2021-01-09,3367
2021-01-10,1337
2021-01-11,7831
2021-01-12,8945
2021-01-13,9054
2021-01-14,9442
2021-01-15,7325
2021-01-16,3809
2021-01-17,1463
2021-01-18,8541
2021-01-19,8367
2021-01-20,12232
2021-01-21,10301
2021-01-22,10193
2021-01-23,3233
2021-01-24,2301
2021-01-25,10567
2021-01-26,10456
2021-01-27,16793
2021-01-28,13969
2021-01-29,14855
2021-01-30,3999
2021-01-31,2453
2021-02-01,12377
2021-02-02,14366
2021-02-03,19676
2021-02-04,15527
2021-02-05,28208
2021-02-06,17346
2021-02-07,6408
2021-02-08,16865
2021-02-09,18825
2021-02-10,28131
2021-02-11,27873
2021-02-12,31494
2021-02-13,14507
2021-02-14,4363
2021-02-15,11661
2021-02-16,13487
2021-02-17,22818
2021-02-18,21095
2021-02-19,20438
2021-02-20,7116
2021-02-21,2047
2021-02-22,7562
2021-02-23,14363
2021-02-24,25881
2021-02-25,27041
2021-02-26,29532
2021-02-27,15429
2021-02-28,4654
2021-03-01,13381
2021-03-02,19093
2021-03-03,33219
2021-03-04,37792
2021-03-05,48337
2021-03-06,24987
2021-03-07,6629
2021-03-08,21393
2021-03-09,29212
2021-03-10,33486
2021-03-11,42444
2021-03-12,46238
2021-03-13,21867
2021-03-14,5048
2021-03-15,16920
2021-03-16,30888
2021-03-17,35361
2021-03-18,39135
2021-03-19,33951
2021-03-20,15123
2021-03-21,5751
2021-03-22,14761
2021-03-23,22864
2021-03-24,37616
2021-03-25,49177
2021-03-26,40882
2021-03-27,18726
2021-03-28,5426
2021-03-29,20436
2021-03-30,28983
2021-03-31,38962
2021-04-01,46281
2021-04-02,32981
2021-04-03,16221
2021-04-04,2576
2021-04-05,22203
2021-04-06,37340
2021-04-07,44102
2021-04-08,51614
2021-04-09,50097
2021-04-10,24321
2021-04-11,8233
2021-04-12,22308
2021-04-13,28887
2021-04-14,33099
2021-04-15,37155
2021-04-16,33551
2021-04-17,19337
2021-04-18,6912
2021-04-19,15887
2021-04-20,30748
2021-04-21,32749
2021-04-22,36595
2021-04-23,32302
2021-04-24,18161
2021-04-25,4830
2021-04-26,16006
2021-04-27,25078
2021-04-28,29422
2021-04-29,29432
2021-04-30,29928
2021-05-01,12724
2021-05-02,5290
2021-05-03,14566
2021-05-04,19266
2021-05-05,22232
2021-05-06,23229
2021-05-07,21862
2021-05-08,12780
2021-05-09,4394
2021-05-10,10028
2021-05-11,14110
2021-05-12,16464
2021-05-13,21110
2021-05-14,24295
2021-05-15,13696
2021-05-16,6561
2021-05-17,13268
2021-05-18,15827
2021-05-19,16988
2021-05-20,15192
2021-05-21,18983
2021-05-22,8390
2021-05-23,3629
2021-05-24,8531
2021-05-25,9119
2021-05-26,9838
2021-05-27,9454
2021-05-28,9265
2021-05-29,3904
2021-05-30,2029
2021-05-31,758
2021-06-01,7110
2021-06-02,7216
2021-06-03,8247
2021-06-04,11209
2021-06-05,6394
2021-06-06,3425
2021-06-07,8133
2021-06-08,7753
2021-06-09,8922
2021-06-10,8052
2021-06-11,10297
2021-06-12,4961
2021-06-13,2649
2021-06-14,6888
2021-06-15,6432
2021-06-16,6564
2021-06-17,5668
2021-06-18,6974
2021-06-19,3042
2021-06-20,1608
2021-06-21,3962
2021-06-22,4398
2021-06-23,4832
2021-06-24,4343
2021-06-25,5199
2021-06-26,2658
2021-06-27,1352
2021-06-28,3855
2021-06-29,3735
2021-06-30,4019
2021-07-01,3615
2021-07-02,3956
2021-07-03,1651
2021-07-04,373
2021-07-05,2423
2021-07-06,3408
2021-07-07,3763
2021-07-08,3288
2021-07-09,4267
2021-07-10,1994
2021-07-11,1184
2021-07-12,3422
2021-07-13,3105
2021-07-14,3312
2021-07-15,3429
2021-07-16,4294
2021-07-17,1946
2021-07-18,1079
2021-07-19,3781
2021-07-20,3716
2021-07-21,4109
2021-07-22,4011
2021-07-23,4978
2021-07-24,2483
2021-07-25,1351
2021-07-26,4098
2021-07-27,4256
2021-07-28,4500
2021-07-29,4329
2021-07-30,5392
2021-07-31,2754
2021-08-01,1591
2021-08-02,4900
2021-08-03,5007
2021-08-04,5222
2021-08-05,5294
2021-08-06,6970
2021-08-07,3025
2021-08-08,1877
2021-08-09,5624
2021-08-10,5504
2021-08-11,5530
2021-08-12,5130
2021-08-13,6420
2021-08-14,2903
2021-08-15,1863
2021-08-16,5519
2021-08-17,5339
2021-08-18,5544
2021-08-19,5488
2021-08-20,7221
2021-08-21,3114
2021-08-22,1790
2021-08-23,5266
2021-08-24,4773
2021-08-25,2202
