ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19125,27663,779,11375,3987
19013,136951,5081,62834,5967
19017,25218,916,11559,1191
19153,502556,26957,232127,11672
19021,17207,631,6484,3514
19163,163299,7277,74435,5935
19127,29300,1212,12734,2716
19113,244499,8604,114418,8311
19159,4178,74,2023,4
19075,9487,295,4402,375
19123,15128,467,7053,510
19049,86869,3471,41225,2358
19109,12112,431,5584,472
19157,18280,522,8725,407
19197,11201,307,4604,1705
19103,180922,6959,85127,4064
19095,11807,269,5459,598
19015,22415,753,10588,533
19081,6650,99,2921,709
19193,88774,4021,40226,4711
19003,3524,88,1622,8
19045,33535,1495,15238,1479
19029,20819,469,9857,417
19167,22222,525,9534,2619
19051,8119,161,3139,1657
19155,92764,4494,41281,4782
19097,16002,307,7730,251
19099,28166,820,13213,1114
19069,7095,164,3340,239
19033,50753,1986,23465,1766
19189,8214,225,3738,493
19073,9252,266,4209,496
19025,8401,90,4055,169
19187,34978,1368,16037,1255
19019,12480,277,5950,307
19183,14722,505,6843,523
19089,4347,148,2024,164
19137,6967,273,3050,568
19169,99321,4774,46344,2673
19117,7169,157,3269,383
19139,31810,1225,12819,4818
19171,17443,636,7892,969
19047,13490,331,5779,1576
19151,3894,73,1836,145
19141,10708,285,5043,328
19079,14118,266,6649,401
19085,6968,253,3231,240
19065,20823,498,9705,900
19181,34202,1455,15985,934
19105,13013,286,5903,863
19145,14262,582,6438,773
19007,8912,279,4035,470
19031,12494,271,5990,275
19027,20149,586,9156,1078
19149,16841,419,6734,2916
19023,7810,91,3769,161
19057,36060,1889,16721,691
19043,12649,184,5884,652
19061,119590,3280,57230,2055
19035,9422,204,4479,252
19055,9784,243,4414,752
19091,8327,237,3786,374
19129,11930,531,5620,144
19041,16422,489,7873,244
19077,8872,215,4199,238
19173,4450,83,2162,17
19119,6012,103,2914,70
19185,6336,176,2841,375
19083,13467,258,5922,1311
19111,25441,929,11226,1822
19147,6728,153,3201,145
19121,13863,275,6685,154
19165,11462,242,5526,124
19071,3323,69,1578,98
19131,8785,159,4232,142
19195,3417,59,1680,1
19009,4046,76,1936,101
19005,11243,326,5401,107
19093,3656,119,1526,489
19179,24546,872,11368,814
19175,9743,376,4588,280
19143,3114,42,1457,160
19101,15443,630,6941,935
19067,13450,292,6064,1012
19063,9979,568,4462,369
19177,2977,76,1394,111
19039,9607,276,3983,1352
19191,16787,664,7585,982
19053,5895,155,2764,118
19059,15209,470,7250,235
19135,6611,155,3072,280
,10368,246,5210,1
19087,16213,462,6926,1848
19161,6560,99,3197,49
19037,5863,110,2715,330
19011,15275,393,7208,456
19107,3270,42,1565,100
19115,7896,153,3122,1519
19133,4412,66,2086,190
19001,4702,146,2146,327
