Age Group Public,RECIP_ID
0 - 11,10
12 - 15,88841
16 - 17,58872
18 - 19,68260
20 - 29,342764
30 - 39,379818
40 - 49,392115
50 - 59,478605
60 - 64,295813
65+,922864
