County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,559725,57049,46415,537,478,59
Linn,241201,20418,17748,305,278,27
Black Hawk,179180,16107,13831,284,267,17
Johnson,175355,13656,12197,72,67,5
Scott,173379,18098,15681,200,187,13
Dubuque,155986,13363,11461,191,178,13
Story,134854,10035,8776,45,39,6
Woodbury,120660,14789,12957,210,194,16
Dallas,106040,11108,9025,88,77,11
Pottawattamie,100312,10635,9058,140,125,15
Marshall,68259,4919,4257,70,63,7
Cerro Gordo,64851,5285,4674,79,67,12
Warren,61513,5462,4538,69,64,5
Webster,58981,5126,4660,85,71,14
Clinton,51076,5355,4517,82,73,9
Des Moines,45951,4501,3907,56,49,7
Lee,45002,3709,3217,51,38,13
Muscatine,44880,4434,3870,88,79,9
Jasper,41843,4015,3303,65,61,4
Buena Vista,38728,4675,3935,36,33,3
Wapello,38425,4202,3466,105,102,3
Boone,37243,2561,2205,30,28,2
Sioux,36024,4889,4532,67,64,3
Washington,34429,2523,2197,43,40,3
Marion,33956,3542,3063,66,58,8
Poweshiek,33300,1527,1335,29,27,2
Plymouth,32388,3912,3464,77,69,8
Bremer,30869,2751,2449,53,47,6
Carroll,30756,2828,2542,47,39,8
Henry,30685,2911,2654,35,35,0
Benton,30201,2466,2078,54,44,10
Winneshiek,29667,1850,1584,26,22,4
Fayette,28994,1834,1632,32,29,3
Hardin,28502,1779,1548,35,31,4
Tama,27317,2102,1848,64,62,2
Mahaska,25229,2220,1936,44,39,5
Cedar,25019,1727,1537,22,21,1
Buchanan,24870,1820,1596,27,24,3
Clay,24698,1923,1703,25,20,5
Iowa,24586,1425,1262,23,21,2
Butler,24285,1652,1488,31,28,3
Crawford,22787,2697,2315,35,31,4
Delaware,22548,1881,1723,38,33,5
Dickinson,21641,2143,1855,38,32,6
Floyd,21529,1618,1379,38,30,8
Jones,21495,2929,2696,54,50,4
Jackson,21387,2190,1924,37,34,3
O'Brien,21192,1915,1660,58,54,4
Kossuth,21122,2049,1782,54,47,7
Clayton,20476,1677,1495,53,45,8
Hamilton,20263,1903,1589,40,39,1
Mills,18677,1614,1368,20,17,3
Wright,18320,1780,1650,31,26,5
Hancock,17875,1459,1295,28,23,5
Cass,17600,1308,1104,48,45,3
Allamakee,17568,1429,1273,41,35,6
Harrison,17288,1777,1521,68,64,4
Cherokee,17116,1525,1367,35,29,6
Jefferson,17086,1371,1206,32,27,5
Franklin,17008,1177,1016,19,18,1
Page,16974,1784,1633,19,18,1
Madison,16583,1512,1236,17,13,4
Sac,16509,1229,1106,17,17,0
Grundy,16039,1368,1204,30,25,5
Calhoun,15520,1321,1227,10,10,0
Palo Alto,15288,1037,911,21,19,2
Monona,15197,813,698,25,24,1
Appanoose,15018,1361,1086,47,43,4
Guthrie,14976,1152,1019,28,23,5
Chickasaw,14857,1244,1131,13,12,1
Mitchell,14847,1297,1141,40,38,2
Winnebago,14647,1363,1194,30,25,5
Louisa,14606,1267,1128,41,34,7
Union,14501,1252,1095,31,26,5
Emmet,13793,1202,1066,39,37,2
Howard,13775,1013,839,21,17,4
Shelby,13597,1189,1025,32,29,3
Pending Investigation,13189,916,791,0,0,0
Humboldt,13067,1164,1044,23,20,3
Keokuk,12870,968,844,29,29,0
Greene,12660,762,692,10,10,0
Lyon,12543,1445,1345,41,37,4
Montgomery,11918,1036,863,36,34,2
Clarke,11314,980,795,20,20,0
Pocahontas,11159,851,767,19,19,0
Worth,10544,685,619,4,3,1
Adair,10459,904,671,26,20,6
Ida,9952,907,728,32,30,2
Audubon,9819,481,413,9,8,1
Davis,9012,819,687,23,22,1
Decatur,8390,565,500,9,9,0
Ringgold,8345,511,455,16,15,1
Monroe,8080,916,801,27,21,6
Lucas,7816,726,648,21,17,4
Van Buren,7092,557,489,17,14,3
Taylor,7041,660,597,11,9,2
Osceola,6648,692,636,14,12,2
Fremont,6264,581,525,9,7,2
Wayne,4923,481,399,21,17,4
Adams,4402,325,299,3,3,0
