RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,0.5132946113623891,238241,13356
19161,0.4237218393169427,3777,342
19027,0.5013141581948921,9090,1019
19013,0.47419757978480206,56770,5458
19017,0.4865533476977097,11134,1060
19019,0.42932703659976387,8452,639
19103,0.5848352520841604,83453,4939
19195,0.41566183443977786,2877,191
19033,0.4990812720848056,19444,1742
19081,0.4013170272812794,3800,466
19169,0.5119289104894097,46928,2789
19139,0.47379523720232516,16160,4054
19165,0.4793085385018334,5259,231
19009,0.4909024745269287,2544,154
19191,0.5144314941723776,9387,897
19065,0.4392875318066158,8035,597
19061,0.5229932895561653,49095,1798
19147,0.4140220571685798,3445,234
19183,0.4544502617801047,9268,714
19003,0.4294836202109939,1485,62
19173,0.3768991994772096,2230,77
19041,0.4253871128871129,6406,407
19125,0.41253420743993027,11572,2146
19123,0.3403937542430414,6710,811
19157,0.47357328145265889,8299,464
19099,0.46142261664649727,15563,1595
19073,0.46467146714671467,3612,518
19113,0.5293552001270367,111463,8545
19049,0.5137555776700588,45593,2419
19193,0.40069054477387569,36667,4647
19171,0.4810134092796962,7255,852
19109,0.43826368730169448,5926,566
19187,0.4520944741532977,14829,1403
19011,0.458880873464613,10860,908
19045,0.41469771048267248,17781,1473
19067,0.42667178110216089,6117,557
19189,0.43026849526752949,3873,582
19131,0.3976950689590025,3997,213
19029,0.47172016204425057,5693,362
19135,0.3751135331516803,2566,325
19127,0.5005715156595291,17018,2689
19063,0.41040399652476108,3466,313
19159,0.41990192071924806,2015,40
19115,0.4001812415043045,3364,1052
19163,0.4199418305453242,67308,5318
19149,0.4168089923342733,8377,2117
19059,0.4742728010198169,7907,278
19093,0.39285714285714287,2282,413
19015,0.5194023023557216,12867,759
19141,0.4144550279938922,5170,530
19075,0.49795618051013737,5599,492
19091,0.4012345679012346,3463,372
19151,0.42997431636198826,2623,223
19055,0.43195579331021108,6502,846
19101,0.3856791473080077,6338,718
19005,0.38927449404544459,5097,231
19181,0.4652197567326002,22570,1373
19025,0.4813818783616053,4303,351
19083,0.44805888638252408,6620,928
19069,0.4252234359483615,3904,378
19023,0.4773183738486045,6447,445
19133,0.42414393499709809,3414,240
19085,0.38422663534771159,5035,363
19137,0.43722900070585865,3806,530
19111,0.38443711560745166,11363,1576
19037,0.43735858543534736,4513,706
19197,0.4609138672185958,4873,917
19179,0.3849409476965312,11047,2414
19121,0.426061941486106,6620,341
19143,0.37881839543470965,2035,222
19051,0.29033333333333335,2451,162
19047,0.41551724137931037,5667,1322
19145,0.41848149864301317,5784,538
19043,0.3960339620491196,6365,585
19057,0.3890728051941386,14261,900
19007,0.3705939159826171,4181,424
19107,0.36990044895569,3486,304
19077,0.47572270558518106,4741,344
19129,0.39069428817261239,5620,283
19021,0.490519877675841,6614,3010
19087,0.4231231833216398,6834,1609
19079,0.5049076017058146,6779,680
19035,0.4342679127725857,4504,375
19001,0.40687919463087249,2587,323
19095,0.5064260998517054,7488,708
19167,0.33401233682398509,9946,1696
19089,0.40925966368202668,3274,474
19119,0.29400255210548706,3280,176
19185,0.33550690886508308,1986,175
19039,0.4195848855774348,3230,712
19155,0.4036328133381971,35455,2166
19117,0.3672093023255814,2746,412
19031,0.48408224620175019,8346,671
19175,0.4077281267870272,4718,273
19071,0.3670977011494253,2357,198
19053,0.31664548919949178,2258,234
19177,0.3260931289040318,2079,218
19097,0.4308349194917434,7997,378
19105,0.48358396595909289,8958,1043
,,38,5
