County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,39976,203060,9861,455781
Linn,16594,101247,7574,225370
Johnson,12173,76625,3620,168689
Scott,10610,66971,5226,151035
Story,7470,41503,2336,91938
Black Hawk,7353,57745,5401,128489
Pottawattamie,6325,37091,4628,86076
Dallas,6232,36221,2005,79312
Dubuque,4920,53832,1819,114200
Woodbury,4858,37222,4357,83244
Cerro Gordo,2777,21734,1505,47813
Des Moines,2278,15503,618,33936
Webster,2128,14449,978,32236
Warren,2029,14775,795,32206
Clinton,1862,13946,1258,31092
Jasper,1824,11698,835,25882
Muscatine,1712,11575,4464,29442
Marshall,1620,11507,2590,27163
Tama,1528,6727,958,15954
Wapello,1363,10395,514,22772
Bremer,1201,10824,1104,23943
Lee,1134,10456,1533,23835
Marion,1085,10641,3931,26443
Boone,1049,9833,457,21116
Jefferson,983,6259,862,14365
Washington,910,6177,465,13744
Carroll,886,8556,980,19134
Poweshiek,876,8045,285,17149
Sioux,812,8932,2500,21191
Winneshiek,805,6900,895,15499
Page,793,6064,650,13590
Buena Vista,765,5956,3213,15980
Mills,758,4762,122,10423
Mahaska,700,6587,410,14329
Henry,686,6492,1593,15316
Emmet,660,4294,337,9689
Cass,659,9447,335,20101
Fayette,640,9329,858,20175
Clay,635,7409,162,15573
Dickinson,616,6868,178,14536
Benton,598,6808,414,14641
Jones,595,5410,758,12240
Madison,506,6329,136,13351
Plymouth,506,6357,2829,16086
Guthrie,482,3841,213,8393
Kossuth,481,5286,381,11486
Jackson,479,7355,202,15374
Hardin,461,5535,1232,12820
Union,455,4281,227,9162
Wright,451,4251,1625,10558
Floyd,449,5720,925,12832
Crawford,439,5404,1521,12792
Delaware,439,4075,709,9267
Greene,418,3959,454,8863
Cedar,415,5694,248,12027
Hamilton,409,6312,381,13563
Allamakee,398,5209,88,10906
O'Brien,385,4751,284,10179
Clarke,381,3717,1311,9140
Appanoose,378,3837,441,8581
Montgomery,372,2851,548,6650
Grundy,362,4198,314,9082
Shelby,348,5270,90,11025
Buchanan,347,5693,263,11998
Harrison,336,3118,208,6790
Cherokee,334,4247,219,9053
Iowa,333,5247,537,11384
Humboldt,310,3635,349,8069
Clayton,299,5717,624,12402
Winnebago,295,3531,452,7834
Lucas,292,3044,365,6840
Monroe,286,2839,245,6239
Monona,271,1823,126,4029
Mitchell,269,4041,118,8487
Out of State,252,5284,0,10474
Wayne,244,2745,359,6190
Decatur,228,2660,115,5753
Adair,228,2018,309,4509
Palo Alto,221,3071,129,6522
Lyon,216,2784,51,5834
Louisa,207,2998,1513,7692
Davis,205,3010,1642,7897
Hancock,203,2751,677,6381
Franklin,182,3216,213,6837
Ringgold,160,1899,3,4012
Calhoun,158,3972,155,8283
Butler,152,3699,136,7694
Chickasaw,150,2626,305,5700
Howard,131,1945,139,4145
Sac,128,3157,39,6498
Taylor,126,2092,10,4340
Adams,121,1574,4,3452
Ida,117,1457,463,3491
Fremont,107,1505,89,3205
Van Buren,105,1354,91,2905
Keokuk,99,1481,100,3161
Audubon,98,1903,101,4002
Pocahontas,86,1782,140,3792
Worth,83,1624,0,3328
Osceola,64,1399,145,3007
