County,Number of Doses
Polk,553880
Linn,255130
Johnson,184932
Scott,157462
Black Hawk,133479
Dubuque,108342
Story,106115
Dallas,104857
Woodbury,90149
Pottawattamie,83729
Warren,52267
Cerro Gordo,45532
Clinton,41546
Marshall,41317
Muscatine,40845
Jasper,36457
Webster,35047
Des Moines,33940
Boone,29165
Marion,28495
Wapello,27715
Lee,27369
Bremer,25729
Benton,25248
Sioux,24098
Washington,21319
Winneshiek,21246
Plymouth,21004
Carroll,20947
Jones,20700
Buchanan,19652
Buena Vista,19331
Cedar,19077
Poweshiek,18730
Fayette,18510
Jackson,18040
Dickinson,17611
Henry,17333
Iowa,17256
Tama,17224
Mahaska,16084
Hamilton,15724
Hardin,15701
Delaware,15382
Madison,15165
Jefferson,14994
Butler,14669
Clay,14588
Crawford,14329
Clayton,14297
Floyd,14290
Page,13558
Kossuth,13515
Grundy,13089
Mills,13053
Cass,12883
O'Brien,11853
Wright,11851
Harrison,11789
Shelby,11714
Allamakee,11696
Union,10891
Guthrie,10873
Chickasaw,10794
Cherokee,10387
Appanoose,9796
Calhoun,9794
Montgomery,9224
Franklin,9208
Winnebago,9123
Mitchell,9072
Louisa,8920
Hancock,8887
Sac,8712
Greene,8607
Clarke,8271
Humboldt,8141
Emmet,8070
Keokuk,8043
Howard,7863
Palo Alto,7782
Monona,7758
Lyon,7241
Worth,6587
Lucas,6495
Adair,6027
Pocahontas,6022
Monroe,5986
Davis,5667
Audubon,5642
Ida,5521
Fremont,5407
Decatur,5345
Taylor,4969
Van Buren,4958
Wayne,4607
Osceola,4603
Ringgold,4448
Adams,3361
.,75
