Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.1767878077373974,American Indian or Alaska Native
Asian,0.3839441743244689,Asian
Black,0.20619804066976309,Black
Native Hawaiian or Other Pacific Islander,0.3572023313905079,Native Hawaiian or Other Pacific Islander
Other Race,0.5366708668540596,Other Race
White,0.4237048281265302,White
