Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.14917936694021104,American Indian or Alaska Native
Asian,0.33409812289732407,Asian
Black,0.16837750282971,Black
Native Hawaiian or Other Pacific Islander,0.30328892589508746,Native Hawaiian or Other Pacific Islander
Other Race,0.46575231818034959,Other Race
White,0.39093659498859775,White
