County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,208666,37812,29006,379,343,36
Linn,90953,15539,12071,221,208,13
Scott,66454,12998,9312,120,114,6
Johnson,61849,10391,8396,43,39,4
Black Hawk,54764,11882,9609,193,181,12
Woodbury,47601,11508,9471,151,142,9
Dubuque,46130,10037,8163,126,119,7
Story,43755,7461,5810,23,21,2
Dallas,40971,7192,5531,60,50,10
Pottawattamie,37562,7508,5250,79,72,7
Warren,21037,3317,2329,25,23,2
Cerro Gordo,18845,4030,2896,51,44,7
Webster,17792,4091,3052,51,45,6
Clinton,16893,3787,2790,50,45,5
Des Moines,16566,3273,2480,26,23,3
Muscatine,16497,3325,2430,66,60,6
Marshall,16154,3775,3095,53,50,3
Jasper,13638,2578,1889,48,46,2
Wapello,12940,2873,2190,88,86,2
Sioux,12653,4089,3384,39,38,1
Buena Vista,12327,3379,2784,21,18,3
Lee,12174,2585,1760,21,17,4
Marion,11651,2359,1758,34,29,5
Plymouth,10730,3121,2438,42,36,6
Boone,10174,1655,1168,14,12,2
Benton,9872,1873,1437,32,29,3
Carroll,9170,2189,1760,26,20,6
Bremer,9115,2140,1635,38,35,3
Washington,8945,1635,1145,26,25,1
Pending Investigation,8842,569,377,0,0,0
Henry,8764,2315,1691,20,20,0
Dickinson,8255,1580,1161,12,10,2
Jones,7937,2479,2049,34,33,1
Mahaska,7847,1484,1089,32,30,2
Winneshiek,7445,1217,797,16,14,2
Buchanan,7323,1333,984,15,14,1
Crawford,7127,1943,1634,16,13,3
Jackson,6972,1685,1312,23,22,1
Fayette,6960,1197,856,14,13,1
Cedar,6959,1263,898,16,15,1
Tama,6642,1633,1362,55,53,2
Poweshiek,6553,1112,864,21,20,1
Wright,6525,1417,1077,12,10,2
Clay,6520,1427,949,10,7,3
Hardin,6494,1332,961,22,20,2
Iowa,6320,1066,787,19,19,0
Mills,6301,1202,899,11,11,0
Delaware,6300,1554,1260,27,26,1
Floyd,6061,1202,821,26,19,7
Kossuth,6015,1383,848,23,22,1
Hamilton,5867,1322,857,21,21,0
Jefferson,5684,852,545,16,15,1
Madison,5590,838,594,8,7,1
Clayton,5382,1269,928,27,23,4
Butler,5358,1157,828,15,14,1
Union,5320,948,607,12,12,0
O'Brien,5238,1464,1133,45,41,4
Harrison,5053,1264,931,49,46,3
Page,4856,1293,1070,10,10,0
Cass,4848,932,668,36,34,2
Winnebago,4786,1033,779,26,22,4
Allamakee,4646,1027,648,18,15,3
Cherokee,4581,1099,686,16,14,2
Hancock,4574,1054,724,21,18,3
Appanoose,4560,880,650,33,33,0
Calhoun,4432,1139,908,8,8,0
Grundy,4409,953,710,14,12,2
Guthrie,4383,853,641,22,17,5
Mitchell,4346,911,629,19,19,0
Louisa,4296,969,734,23,19,4
Sac,4271,975,701,10,10,0
Chickasaw,4153,967,776,10,9,1
Shelby,4050,866,660,20,20,0
Franklin,3944,817,612,17,16,1
Emmet,3883,884,653,23,22,1
Humboldt,3745,866,615,16,13,3
Palo Alto,3592,753,546,2,2,0
Lyon,3572,1145,867,21,19,2
Clarke,3485,556,442,6,6,0
Howard,3333,630,426,15,11,4
Greene,3332,597,427,6,6,0
Montgomery,3265,631,378,13,12,1
Keokuk,3159,733,467,18,18,0
Monona,2931,512,364,12,11,1
Pocahontas,2854,643,472,4,4,0
Adair,2793,513,372,16,12,4
Worth,2789,439,290,2,2,0
Lucas,2757,410,285,6,6,0
Decatur,2580,382,279,2,2,0
Ida,2510,640,400,17,16,1
Davis,2414,579,399,12,11,1
Monroe,2365,516,383,15,15,0
Fremont,2097,429,332,5,3,2
Van Buren,2097,420,320,11,10,1
Taylor,2032,502,402,8,7,1
Osceola,1948,593,464,5,5,0
Audubon,1941,334,261,6,6,0
Ringgold,1835,319,156,6,6,0
Wayne,1725,338,265,21,17,4
Adams,1189,212,146,2,2,0
,,,,1,1,0
