Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.1832356389214537,American Indian or Alaska Native
Asian,0.3932999679026142,Asian
Black,0.21594785527496977,Black
Native Hawaiian or Other Pacific Islander,0.3732306411323897,Native Hawaiian or Other Pacific Islander
Other Race,0.5567994572065523,Other Race
White,0.43266225499111607,White
