RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19013,87994,14558,34752,3935
19019,13942,1706,5901,431
19081,6282,826,2575,307
19153,311076,73782,114853,7632
19147,5852,728,2492,138
19191,14760,2243,5976,561
19169,62462,15662,22708,1397
19109,9970,1232,4169,403
19127,25306,5023,9075,2132
19139,26459,4567,9378,3134
19193,56658,9578,22100,2882
19103,125349,22173,49855,3474
19091,5745,973,2242,288
19101,10053,1330,4107,510
19123,10652,1728,4191,542
19083,11172,1472,4509,679
19045,26612,4494,10583,955
19149,15169,1791,5775,1827
19161,6614,812,2785,231
19049,60006,15181,21654,1536
19179,18054,2840,6672,1871
19163,100192,16244,40291,3358
19121,9682,1948,3777,181
19033,30859,4444,12687,1041
19171,11933,1843,4706,685
19141,8998,968,3817,394
19047,9745,1401,3602,1142
19055,10885,1540,4343,658
19043,11448,1093,4950,453
19187,22954,3939,9079,855
19021,12405,1631,4102,2571
19093,3932,434,1614,267
19077,7449,1119,3057,216
19057,22560,3136,9429,572
19039,5614,576,2225,588
19017,18451,2545,7547,812
19053,3932,408,1676,169
19099,22038,4158,8543,798
19085,8278,1354,3330,267
19089,5431,838,2139,316
19125,19121,3062,7148,1759
19009,4245,539,1800,105
19025,7242,1100,2972,196
19113,158953,30617,60958,6419
19063,6190,787,2587,229
19197,8575,849,3495,731
19131,6863,554,3129,51
19119,5600,687,2398,118
19023,10806,1294,4623,266
19137,6533,847,2631,425
19189,6514,1061,2504,444
19129,8449,1505,3373,199
19115,6057,781,2191,890
19181,31946,6830,12212,686
19067,9787,1486,4031,239
19029,9686,1070,4197,220
19035,7746,997,3232,284
19145,9354,1397,3792,371
19069,6554,855,2723,253
19151,4305,718,1711,164
19061,76685,12561,31553,1025
19037,7917,991,3200,530
19105,13005,2175,5061,709
19097,12589,1902,5231,224
19027,15093,2727,5804,759
19005,8791,831,3923,115
19071,3853,620,1543,146
19173,3907,327,1774,36
19155,49474,7803,19991,1687
19167,17201,2197,6814,1377
19011,16763,2380,6839,704
19157,12386,2628,4747,262
19031,13202,2026,5347,482
19111,18028,2789,7192,850
19087,10726,1526,4415,369
19041,10317,1624,4233,225
19075,9315,1390,3824,280
19107,5638,820,2302,214
19183,14251,2494,5641,475
19015,18625,3103,7571,391
19095,11894,2145,4631,483
19195,4606,689,1901,118
19051,4107,517,1755,81
19133,5815,587,2547,132
19185,3423,433,1431,127
19159,3337,395,1458,25
19007,7174,820,3031,291
19079,10713,1610,4290,521
19177,3468,538,1402,126
19117,4509,665,1782,280
19143,3425,474,1408,136
19065,13950,1485,6020,428
19059,12909,2143,5315,143
19135,4327,590,1756,224
19073,5940,914,2344,338
19165,8420,1482,3403,140
19003,2488,319,1070,28
19001,4346,546,1798,209
19175,7388,1234,3023,111
,68,20,21,6
