Age Group Public,RECIP_ID
0 - 11,16
12 - 15,106225
16 - 17,64837
18 - 19,73055
20 - 29,358325
30 - 39,394474
40 - 49,405372
50 - 59,491433
60 - 64,301308
65+,930494
