ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19061,113878,4891,53697,1796
19045,30826,2005,13751,1237
19113,223945,17246,100222,7546
19049,79008,6289,36045,1992
19197,10487,445,4244,1572
19169,91705,7511,41376,2326
19153,453564,40290,201822,9793
19163,150688,10554,66847,5184
19067,12807,452,5708,921
19053,5751,229,2659,115
19029,20090,656,9445,331
19193,83093,4810,37175,4348
19033,47748,2776,21710,1491
19079,13549,407,6306,381
19013,128138,7319,57591,5389
19179,22693,1356,10365,501
19135,6235,289,2836,244
19015,21050,1058,9797,453
19031,12013,425,5683,246
19099,25785,1828,11653,827
19105,12227,592,5409,751
19055,9234,441,4063,697
19019,11957,330,5685,255
19003,3452,121,1574,4
19173,4340,126,2092,10
19037,5700,150,2626,305
19155,85879,6333,36995,4615
19161,6498,128,3157,39
19191,15411,880,6821,891
19107,3161,99,1481,100
19103,168353,12121,76505,3573
19083,12817,461,5534,1232
19145,13587,794,6062,650
19057,33831,2271,15455,615
19125,26407,1090,10625,3925
19065,20116,641,9303,849
19177,2900,105,1352,90
19091,8061,309,3634,344
19027,19038,875,8516,975
19121,13336,518,6317,136
19077,8381,486,3835,210
19001,4448,168,2018,308
19165,11019,351,5266,89
19129,10421,758,4761,122
19005,10864,416,5178,88
19047,12792,439,5404,1521
19097,15338,456,7351,198
19043,12402,299,5717,624
19007,8580,377,3837,441
19139,29362,1713,11541,4452
19171,15901,1583,6700,956
19181,32121,2056,14723,789
19187,32201,2123,14437,971
19059,14526,608,6867,178
19011,14596,609,6780,414
19159,4008,160,1897,3
19089,4145,131,1945,139
19175,9145,460,4274,219
19147,6516,223,3069,125
19123,14266,746,6536,403
19157,17078,872,7991,274
19167,21175,810,8925,2500
19021,15931,776,5926,3213
19111,23818,1137,10448,1529
19041,15564,632,7407,160
19119,5828,218,2780,51
19127,26964,1707,11364,2590
19087,15046,899,6263,1569
19035,9049,331,4247,218
19131,8485,269,4040,118
19095,11378,332,5247,532
19141,10174,386,4748,284
19185,6189,244,2745,358
19017,23914,1186,10818,1103
19183,13723,902,6172,464
19075,8989,322,4178,301
,10474,252,5284,0
19195,3313,92,1612,0
19189,7834,295,3531,452
19009,4002,98,1903,101
19117,6838,290,3044,365
19051,7889,202,3010,1637
19109,11482,483,5283,381
19101,14345,978,6252,861
19063,9682,657,4292,337
19073,8848,419,3954,448
19081,6380,204,2750,677
19149,16066,492,6355,2827
19151,3789,85,1781,140
19143,2990,81,1382,145
19039,9117,359,3717,1311
19085,6790,336,3118,208
19069,6837,182,3216,213
19133,4024,271,1820,126
19137,6647,371,2851,546
19093,3490,118,1456,463
19025,8283,158,3972,155
19023,7694,153,3699,136
19115,7686,207,2998,1507
19071,3203,107,1504,89
