County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,237457,47210,41030,465,421,44
Linn,102130,18186,16330,280,256,24
Scott,75678,16016,14125,172,163,9
Johnson,69778,12354,10956,54,50,4
Black Hawk,61370,14188,12722,243,229,14
Woodbury,52564,13164,12114,182,169,13
Dubuque,50928,11685,10469,161,152,9
Story,49056,8871,7984,38,33,5
Dallas,46839,9157,7854,72,61,11
Pottawattamie,42220,9208,8174,115,102,13
Warren,24221,4641,3765,39,37,2
Cerro Gordo,21265,4768,4289,72,61,11
Webster,19505,4752,4382,77,66,11
Clinton,19272,4624,4100,68,62,6
Muscatine,18847,3975,3494,79,72,7
Des Moines,18588,3962,3486,43,39,4
Marshall,18220,4335,4028,62,58,4
Jasper,15599,3352,2818,59,57,2
Wapello,15096,3533,3044,98,96,2
Sioux,14092,4607,4274,57,55,2
Lee,13948,3271,2837,33,27,6
Marion,13526,3122,2679,53,46,7
Buena Vista,13508,3977,3695,31,28,3
Boone,11951,2253,1880,18,16,2
Plymouth,11887,3542,3282,70,63,7
Benton,11011,2145,1931,50,40,10
Bremer,10437,2510,2256,48,44,4
Washington,10415,2250,1869,33,32,1
Carroll,10203,2588,2333,34,28,6
Henry,9751,2701,2436,31,31,0
Dickinson,9187,1894,1684,29,26,3
Mahaska,9150,1989,1687,37,33,4
Pending Investigation,8790,1038,636,0,0,0
Jones,8736,2756,2555,50,48,2
Winneshiek,8676,1614,1361,20,18,2
Buchanan,8202,1629,1425,24,22,2
Fayette,8025,1669,1380,24,22,2
Cedar,7916,1567,1371,19,18,1
Jackson,7913,1965,1748,32,31,1
Crawford,7868,2359,2109,24,21,3
Tama,7445,1916,1711,59,57,2
Poweshiek,7418,1360,1189,24,22,2
Clay,7336,1736,1526,21,17,4
Hardin,7289,1588,1436,31,28,3
Wright,7177,1678,1511,24,22,2
Iowa,7132,1286,1123,22,21,1
Delaware,6987,1778,1593,36,32,4
Mills,6942,1390,1264,17,16,1
Kossuth,6884,1822,1526,44,41,3
Floyd,6768,1421,1251,36,28,8
Jefferson,6627,1227,1008,25,22,3
Madison,6606,1266,959,10,9,1
Hamilton,6589,1629,1461,30,29,1
Clayton,6131,1544,1350,49,41,8
Butler,6111,1526,1260,24,21,3
O'Brien,5910,1718,1540,55,51,4
Union,5892,1128,1005,23,21,2
Harrison,5795,1591,1377,62,58,4
Cass,5531,1155,998,44,42,2
Winnebago,5368,1234,1075,29,24,5
Page,5354,1490,1361,15,14,1
Cherokee,5316,1405,1211,27,23,4
Allamakee,5275,1316,1147,30,26,4
Appanoose,5234,1133,941,40,39,1
Hancock,5215,1331,1156,24,19,5
Grundy,5038,1234,1088,28,23,5
Guthrie,4957,1047,931,24,19,5
Mitchell,4929,1174,1014,37,36,1
Louisa,4814,1169,1037,31,26,5
Calhoun,4777,1240,1166,9,9,0
Sac,4728,1131,1031,15,15,0
Chickasaw,4703,1140,1040,12,11,1
Shelby,4655,1078,912,27,27,0
Franklin,4532,1040,879,18,17,1
Emmet,4461,1113,980,32,31,1
Humboldt,4240,1078,958,19,16,3
Clarke,4173,821,672,9,9,0
Lyon,4066,1382,1227,33,30,3
Palo Alto,3953,926,802,11,10,1
Howard,3853,866,695,19,15,4
Montgomery,3834,901,742,24,23,1
Greene,3671,698,645,7,7,0
Keokuk,3585,866,778,26,26,0
Lucas,3324,671,564,10,9,1
Monona,3289,698,534,18,17,1
Worth,3240,622,519,4,3,1
Adair,3183,698,588,20,16,4
Pocahontas,3146,788,701,11,11,0
Decatur,3021,500,428,4,4,0
Monroe,2951,829,638,20,17,3
Ida,2833,769,666,30,29,1
Davis,2811,705,629,21,20,1
Fremont,2374,529,464,6,4,2
Van Buren,2352,506,442,15,13,2
Taylor,2251,603,543,9,7,2
Audubon,2244,428,361,8,8,0
Osceola,2162,650,603,11,9,2
Ringgold,2109,463,355,11,10,1
Wayne,1954,420,356,21,17,4
Adams,1387,302,267,3,3,0
