County,Series Initiated,Series Completed
Polk,40051,17201
Johnson,14923,11891
Linn,13862,7820
Scott,10602,4397
Black Hawk,9540,3803
Pottawattamie,6909,4489
Dubuque,6375,4405
Story,5141,3186
Woodbury,4423,3279
Dallas,4101,1626
Cerro Gordo,3614,2213
Webster,2864,1138
Jasper,2460,1219
Lee,2181,938
Warren,2034,1176
Clay,1829,947
Bremer,1728,1457
Des Moines,1646,1379
Clinton,1568,997
Sioux,1539,847
Wapello,1537,918
Carroll,1416,1065
Boone,1363,903
Marion,1261,864
Muscatine,1126,783
Marshall,1063,821
Jones,941,333
Hardin,879,459
Jackson,872,381
Mills,814,418
Harrison,805,159
Plymouth,793,347
Benton,790,553
Clayton,782,399
Kossuth,772,229
Tama,744,272
Fayette,730,401
Page,727,568
Dickinson,711,477
Cedar,711,455
Delaware,694,472
Winneshiek,689,582
O'Brien,663,588
Buena Vista,652,439
Franklin,630,166
Butler,629,146
Floyd,628,247
Poweshiek,622,267
Jefferson,621,372
Grundy,605,286
Hamilton,579,366
Calhoun,577,313
Shelby,569,393
Allamakee,560,233
Madison,550,244
Winnebago,548,150
Iowa,543,324
Crawford,526,368
Cass,520,497
Sac,512,210
Audubon,510,146
Union,506,342
Washington,502,164
Henry,494,440
Mahaska,491,272
Monroe,491,127
Montgomery,483,291
Buchanan,482,489
Mitchell,471,220
Guthrie,450,219
Ringgold,448,169
Worth,447,57
Wayne,444,206
Wright,443,365
Ida,438,148
Appanoose,434,230
Palo Alto,424,387
Lyon,406,163
Taylor,402,93
Humboldt,380,260
Fremont,380,92
Decatur,355,156
Cherokee,349,484
Lucas,325,120
Clarke,321,189
Osceola,320,117
Monona,318,193
Howard,313,177
Emmet,308,228
Davis,303,144
Louisa,300,92
Pocahontas,287,118
Greene,272,224
Adams,258,101
Keokuk,226,198
Van Buren,212,82
Chickasaw,202,189
Hancock,154,297
Adair,149,113
.,0,0
