County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,39506,206973,10160,463434
Linn,15180,103923,7741,229477
Johnson,10844,78694,3656,171534
Scott,10740,67707,5381,152790
Story,7452,42114,2382,93197
Black Hawk,7372,58252,5523,129640
Dallas,6178,36796,2082,80471
Pottawattamie,6107,37802,4649,87299
Dubuque,4961,54170,1867,114967
Woodbury,4859,37589,4411,84029
Cerro Gordo,2838,21838,1552,48132
Des Moines,2274,15635,623,34202
Webster,2182,14531,1006,32483
Clinton,1959,14059,1295,31450
Warren,1907,15017,813,32587
Jasper,1805,11811,844,26097
Muscatine,1604,11898,4533,30051
Marshall,1542,11756,2590,27583
Wapello,1335,10499,519,22959
Tama,1335,7007,964,16327
Bremer,1169,10964,1120,24208
Lee,1111,10552,1574,24037
Marion,1079,10735,3941,26633
Boone,1067,9957,471,21401
Jefferson,944,6347,873,14512
Carroll,897,8624,996,19299
Washington,868,6297,469,13947
Poweshiek,840,8115,315,17283
Page,800,6089,650,13653
Buena Vista,793,6004,3226,16117
Winneshiek,793,7002,904,15697
Sioux,784,9008,2508,21323
Mills,756,4793,133,10493
Clay,753,7457,180,15796
Mahaska,666,6669,432,14480
Fayette,661,9357,867,20258
Cass,652,9491,335,20185
Emmet,644,4324,341,9741
Henry,629,6573,1650,15483
Dickinson,589,6920,183,14619
Plymouth,575,6386,2841,16225
Benton,541,6882,426,14745
Wright,538,4293,1646,10749
Madison,508,6360,139,13421
Kossuth,501,5345,433,11676
Jackson,493,7382,211,15451
Jones,481,5562,767,12434
Union,471,4332,240,9291
Crawford,466,5444,1521,12898
Hardin,449,5598,1255,12955
Floyd,436,5760,937,12911
Greene,418,3971,460,8894
Delaware,406,4132,717,9354
O'Brien,406,4784,293,10275
Clarke,397,3731,1322,9194
Guthrie,395,3953,228,8543
Cedar,393,5728,249,12075
Hamilton,385,6363,387,13647
Buchanan,373,5704,272,12057
Allamakee,362,5256,92,10971
Appanoose,361,3871,446,8639
Shelby,352,5305,98,11107
Grundy,347,4241,324,9163
Montgomery,344,2899,551,6721
Cherokee,342,4266,221,9102
Harrison,336,3118,213,6795
Iowa,322,5313,562,11531
Winnebago,312,3555,463,7909
Monroe,310,2847,250,6284
Humboldt,306,3651,356,8102
Lucas,266,3081,369,6895
Out of State,252,5284,0,10474
Monona,244,1895,150,4169
Wayne,239,2752,363,6206
Clayton,233,5789,628,12488
Adair,232,2018,313,4519
Davis,215,3022,1645,7933
Decatur,215,2674,118,5772
Palo Alto,213,3094,132,6562
Hancock,207,2776,690,6448
Franklin,205,3240,220,6915
Louisa,195,3031,1513,7747
Mitchell,183,4129,118,8576
Howard,178,1947,139,4194
Lyon,168,2835,61,5899
Ringgold,163,1912,4,4041
Butler,142,3709,137,7706
Chickasaw,140,2649,316,5746
Calhoun,129,4008,157,8329
Adams,118,1579,4,3460
Sac,117,3173,42,6522
Taylor,111,2105,11,4354
Ida,109,1472,468,3519
Fremont,101,1518,94,3230
Audubon,98,1903,101,4002
Van Buren,96,1364,91,2917
Pocahontas,93,1782,140,3799
Keokuk,81,1508,100,3195
Worth,79,1630,0,3336
Osceola,46,1420,152,3038
