County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,694061,64066,54231,617,545,72
Linn,291891,21951,19619,333,297,36
Black Hawk,213777,17141,15045,307,284,23
Johnson,210994,15175,13517,83,77,6
Scott,210662,20960,18021,239,217,22
Dubuque,190838,14546,12587,207,191,16
Story,162230,11229,10064,48,42,6
Woodbury,146575,16327,14410,227,209,18
Dallas,128137,12364,10624,97,84,13
Pottawattamie,120259,12044,10267,165,146,19
Marshall,82493,5161,4676,75,67,8
Warren,77282,6177,5329,87,77,10
Cerro Gordo,76607,5735,5036,88,74,14
Webster,68432,5381,4961,92,77,15
Clinton,63507,5946,5145,92,79,13
Des Moines,56170,4832,4311,66,55,11
Muscatine,55494,5012,4386,99,90,9
Lee,53856,3944,3611,55,42,13
Jasper,51792,4456,3978,70,65,5
Wapello,47141,4624,4106,122,118,4
Sioux,45750,5275,4907,74,70,4
Buena Vista,45223,4887,4151,40,36,4
Poweshiek,44575,1612,1489,33,30,3
Boone,44446,2791,2499,34,31,3
Marion,42445,3786,3461,75,64,11
Washington,41532,2684,2400,50,46,4
Winneshiek,39777,2039,1870,33,28,5
Bremer,39444,2950,2706,60,51,9
Plymouth,38418,4293,3817,79,71,8
Benton,37277,2691,2429,55,44,11
Carroll,36561,3044,2710,52,43,9
Fayette,36323,1923,1786,41,36,5
Henry,36259,3039,2806,37,36,1
Hardin,34953,1966,1726,42,34,8
Tama,32742,2208,1981,71,67,4
Cedar,31305,1965,1779,23,21,2
Buchanan,31215,2002,1816,31,26,5
Mahaska,30808,2383,2149,50,45,5
Clay,30714,2249,2014,25,20,5
Iowa,29784,1538,1421,24,22,2
Butler,29598,1720,1576,34,30,4
Delaware,28590,2112,1921,39,35,4
Crawford,27767,2873,2561,40,35,5
Dickinson,26899,2655,2274,43,37,6
Kossuth,26368,2262,2028,64,56,8
Jones,26271,3072,2849,57,51,6
O'Brien,26225,2137,1875,60,55,5
Jackson,25783,2328,2115,42,39,3
Floyd,25719,1763,1489,42,32,10
Clayton,25094,1770,1579,56,47,9
Hamilton,23446,1977,1723,49,45,4
Hancock,21519,1557,1377,34,27,7
Page,21453,1980,1855,21,19,2
Harrison,21396,1916,1651,73,69,4
Mills,21373,1772,1542,21,18,3
Allamakee,21159,1550,1438,51,41,10
Cherokee,20934,1684,1509,38,30,8
Wright,20829,1886,1741,36,29,7
Cass,20819,1452,1282,54,48,6
Madison,20742,1707,1493,19,15,4
Jefferson,20547,1434,1278,35,29,6
Sac,20203,1374,1230,19,19,0
Franklin,19507,1251,1093,21,19,2
Grundy,19369,1435,1312,32,27,5
Palo Alto,18948,1174,1055,23,22,1
Guthrie,18656,1280,1137,29,24,5
Calhoun,18413,1398,1315,13,12,1
Monona,18165,881,775,30,28,2
Mitchell,17965,1365,1217,41,38,3
Appanoose,17878,1448,1210,47,43,4
Winnebago,17578,1506,1312,31,26,5
Chickasaw,17477,1296,1206,15,13,2
Shelby,17405,1355,1215,37,33,4
Louisa,17365,1340,1209,49,42,7
Union,17217,1339,1193,32,26,6
Emmet,17108,1398,1203,40,38,2
Howard,16865,1087,1000,22,18,4
Lyon,16464,1574,1472,41,37,4
Keokuk,15782,1019,910,31,31,0
Humboldt,15501,1233,1152,26,23,3
Greene,14988,820,747,10,10,0
Montgomery,14448,1101,953,37,35,2
Clarke,13427,1047,956,24,22,2
Worth,13182,775,683,8,7,1
Pocahontas,13129,895,815,21,21,0
Ida,12604,1012,840,34,32,2
Adair,12312,980,807,32,22,10
Audubon,12269,518,477,9,8,1
Davis,11148,877,766,24,23,1
Decatur,10402,610,580,9,9,0
Pending Investigation,10219,1028,953,0,0,0
Monroe,9727,993,892,28,21,7
Ringgold,9698,558,514,24,18,6
Lucas,9376,794,726,23,18,5
Osceola,9052,803,706,16,13,3
Taylor,8688,678,633,12,10,2
Van Buren,8487,580,534,18,15,3
Fremont,7360,654,588,9,7,2
Wayne,7068,569,490,23,18,5
Adams,5643,349,321,4,4,0
