County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,34792,65043,503,166747
Linn,23731,28702,2111,82207
Scott,18372,17480,191,53999
Johnson,15662,31222,158,78706
Black Hawk,15278,18080,1736,53360
Dubuque,13248,14929,310,43399
Woodbury,11542,11010,100,33396
Pottawattamie,9249,12234,2670,37048
Story,8987,10383,246,29902
Cerro Gordo,8284,5702,998,20547
Dallas,6587,7548,972,22062
Clinton,4332,2913,91,10248
Des Moines,4144,5732,94,15480
Warren,4087,3972,82,11827
Webster,3880,3957,132,11907
Lee,3700,2647,170,9372
Marshall,3587,1972,1529,9044
Muscatine,3506,2053,1294,8893
Jackson,3476,1337,0,6147
Wapello,3333,2855,0,9039
Marion,3259,2386,514,8531
Bremer,3226,3817,110,10922
Cass,3172,896,0,4962
Tama,2791,1339,549,5912
Washington,2787,602,0,3990
Sioux,2759,2869,955,9447
Fayette,2747,1255,183,5426
Poweshiek,2706,886,0,4483
Dickinson,2614,1328,0,5265
Mahaska,2556,1029,0,4602
Clay,2512,2802,0,8046
Winneshiek,2506,1373,1,5248
Plymouth,2445,1653,2088,7838
Jasper,2437,4212,101,10703
Floyd,2380,962,0,4293
Buena Vista,2344,1218,2206,7019
Benton,2334,1610,0,5556
Buchanan,2331,1152,0,4630
Madison,2319,898,0,4113
Clayton,2311,1346,0,5004
Page,2272,1236,80,4820
Boone,2166,2883,97,7988
Henry,2107,1252,103,4734
Carroll,2093,2531,92,7288
Allamakee,2021,824,0,3667
Cedar,2016,1504,0,5024
Jefferson,1960,1070,49,4146
Iowa,1934,1203,0,4339
Hamilton,1845,1168,0,4178
Shelby,1839,1068,0,3978
Hardin,1823,1444,0,4700
Crawford,1812,1213,1187,5420
Kossuth,1751,1602,0,4954
Mills,1646,1075,0,3796
O'Brien,1608,1393,0,4400
Grundy,1594,926,0,3448
Appanoose,1565,825,0,3204
Franklin,1437,598,0,2631
Butler,1427,1029,0,3481
Cherokee,1369,1050,0,3467
Jones,1333,1468,0,4315
Calhoun,1320,1047,0,3412
Mitchell,1305,688,0,2683
Union,1298,957,0,3211
Louisa,1227,624,1452,3925
Emmet,1226,602,0,2451
Delaware,1189,1328,99,3942
Hancock,1185,685,0,2552
Sac,1173,810,0,2793
Wright,1154,1022,1164,4358
Chickasaw,1143,582,0,2307
Davis,1139,638,0,2405
Winnebago,1109,720,0,2547
Palo Alto,1077,857,0,2791
Guthrie,1040,970,0,2968
Lucas,1000,635,49,2312
Lyon,985,768,0,2521
Decatur,960,475,0,1886
Montgomery,945,756,98,2553
Wayne,922,721,0,2364
Monroe,902,676,99,2346
Greene,901,719,29,2365
Taylor,880,636,0,2148
Harrison,825,1055,0,2934
Humboldt,810,747,0,2303
Clarke,804,567,1109,3027
Adair,795,421,0,1634
Van Buren,679,210,0,1098
Ida,630,466,0,1569
Audubon,610,742,0,2094
Howard,608,473,0,1553
Pocahontas,602,411,85,1508
Monona,595,687,0,1964
Adams,553,469,0,1490
Ringgold,526,731,0,1976
Fremont,513,523,0,1558
Worth,512,551,0,1612
Osceola,414,533,0,1481
Keokuk,402,581,0,1564
Out of State,264,3636,0,7559
