ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19103,180785,6991,85044,4062
19153,501903,27088,231748,11645
19167,22214,525,9530,2619
19047,13474,336,5768,1576
19033,50699,2006,23431,1760
19131,8785,159,4232,142
19195,3417,59,1680,1
19183,14704,519,6828,522
19165,11460,244,5524,124
19169,99253,4796,46302,2668
19155,92670,4521,41220,4782
19113,244305,8673,114288,8306
19083,13462,262,5918,1311
19031,12490,275,5986,275
19045,33504,1503,15220,1477
19055,9780,245,4411,752
19017,25210,922,11552,1191
19099,28150,828,13201,1114
19185,6334,174,2841,375
19023,7810,91,3769,161
19163,163112,7341,74310,5932
19175,9738,379,4585,280
19009,4046,76,1936,101
19173,4450,83,2162,17
19013,136849,5125,62763,5964
19111,25408,943,11203,1821
19049,86793,3498,41173,2353
19041,16413,489,7869,243
19139,31792,1235,12806,4816
19141,10705,284,5042,328
19097,15998,305,7729,251
19193,88693,4060,40169,4707
19187,34934,1385,16008,1252
19109,12108,433,5581,472
19181,34191,1451,15982,934
19061,119552,3306,57200,2052
19127,29258,1236,12703,2711
19105,13010,285,5902,863
19021,17190,631,6477,3511
19125,27641,790,11358,3987
19117,7169,157,3269,383
19003,3524,88,1622,8
19057,35997,1922,16673,691
19191,16772,673,7573,982
19053,5895,155,2764,118
19123,15120,472,7047,510
19011,15274,394,7207,456
19179,24520,887,11349,812
19189,8213,226,3737,493
19073,9250,268,4207,496
19145,14262,583,6438,773
19007,8910,277,4035,470
19085,6968,253,3231,240
19029,20805,476,9847,417
19095,11807,269,5459,598
19129,11923,532,5616,144
19059,15206,473,7247,235
19079,14111,267,6645,401
19043,12649,184,5884,652
19161,6560,99,3197,49
19027,20136,590,9148,1077
19005,11243,326,5401,107
19065,20812,500,9698,900
19147,6728,153,3201,145
19067,13441,299,6056,1012
19063,9975,572,4458,369
19035,9418,208,4475,252
19019,12474,273,5949,307
19101,15427,634,6931,935
19037,5863,110,2715,330
19015,22404,755,10582,532
19051,8118,162,3138,1657
19171,17443,638,7892,969
19001,4702,146,2146,327
19137,6958,272,3045,568
19081,6650,99,2921,709
19025,8401,90,4055,169
19135,6608,156,3070,280
19159,4178,74,2023,4
19149,16833,421,6730,2914
19091,8319,239,3781,374
19151,3882,75,1829,145
19143,3114,42,1457,160
19069,7095,164,3340,239
19133,4412,66,2086,190
19075,9487,295,4402,375
19197,11197,311,4600,1705
19077,8872,215,4199,238
19093,3656,119,1526,489
19157,18270,522,8720,407
19121,13857,277,6681,154
19039,9603,280,3979,1352
19087,16203,462,6921,1848
19107,3270,42,1565,100
19177,2977,76,1394,111
19115,7896,153,3122,1519
19089,4347,148,2024,164
,10368,246,5210,1
19119,6012,103,2914,70
19071,3323,69,1578,98
