Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.17895662368112545,American Indian or Alaska Native
Asian,0.387617541815761,Asian
Black,0.20959369267397838,Black
Native Hawaiian or Other Pacific Islander,0.36261448792672776,Native Hawaiian or Other Pacific Islander
Other Race,0.5444735226648574,Other Race
White,0.42711221791625278,White
