ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,556868,28079,256974,15240
19021,19210,1080,7201,3632
19027,21801,755,9818,1236
19049,95563,4625,44749,2810
19181,36726,1607,17076,1138
19013,149071,6130,68176,6386
19033,55327,2623,25259,2111
19169,106529,5067,49517,3202
19195,3565,63,1752,1
19083,14269,435,6204,1351
19189,8803,293,3990,513
19081,6903,131,3015,743
19155,101287,5488,44944,4982
19139,34780,1370,14035,5223
19009,4205,52,2026,101
19005,11898,410,5671,128
19099,30260,1065,14096,1209
19103,192548,6944,90678,4558
19017,27402,1000,12483,1441
19065,21813,606,10123,960
19061,127369,4100,60533,2398
19041,17467,659,8280,313
19063,10443,622,4639,415
19147,7068,200,3336,170
19193,98638,5610,44196,5059
19003,3633,86,1669,19
19173,4655,118,2238,33
19175,10660,497,4953,352
19067,14474,442,6401,1218
19035,10130,347,4702,372
19123,16353,673,7522,589
19183,15989,675,7353,594
19179,26955,1257,12266,1043
19073,9708,274,4419,525
19113,264082,10286,122745,9587
19019,13585,532,6346,370
19101,16737,773,7484,1003
19127,32708,1444,14092,3216
19109,12942,418,5979,526
19187,38037,1726,17320,1434
19037,6133,146,2817,362
19011,16172,499,7597,479
19141,11380,353,5315,394
19045,37494,1857,16927,1700
19131,9380,250,4457,191
19029,21747,605,10222,468
19135,7056,177,3237,372
19059,16353,663,7702,280
19159,4421,130,2114,6
19163,177803,8233,80823,6701
19125,29768,1147,12164,4142
19149,17935,575,7165,2995
19015,24050,719,11399,606
19091,8808,307,3956,436
19151,4104,111,1905,178
19055,10521,476,4630,822
19031,13097,327,6252,298
19167,23847,830,10110,2787
19143,3286,52,1518,199
19161,6670,141,3220,67
19069,7473,228,3483,271
19133,4631,124,2146,231
19075,10179,507,4580,506
19171,18119,676,8185,984
19137,7649,435,3292,604
19111,28120,1330,12192,2175
19197,11980,341,4926,1807
19047,14586,595,6179,1608
19077,9377,279,4378,318
19093,3854,128,1600,530
19051,8496,236,3257,1692
19025,8527,105,4091,208
19145,15319,799,6818,855
19057,39795,2192,18389,771
19007,9493,434,4229,511
19157,19434,650,9209,464
19191,18301,736,8266,1070
19023,7962,107,3823,193
19087,17603,725,7393,2044
19053,6200,206,2881,136
19097,17007,505,8108,303
19001,4893,169,2213,344
19079,14888,360,6974,420
19095,12308,232,5702,652
19119,6267,149,2999,110
19043,12983,269,6000,669
19117,7592,221,3420,441
19039,10384,389,4298,1387
19107,3382,66,1609,100
19165,12224,354,5832,173
19185,6555,200,2918,407
19115,8173,179,3219,1562
19121,14526,384,6941,182
19177,3044,71,1420,131
19085,7268,370,3306,271
,10381,240,5210,1
19105,13894,404,6228,989
19129,12591,606,5891,171
19089,4794,204,2194,220
19071,3416,102,1608,98
