County,Number of Doses
Polk,762567
Linn,353149
Johnson,256799
Scott,219654
Black Hawk,180950
Dubuque,147727
Dallas,146144
Story,145279
Woodbury,119118
Pottawattamie,113402
Warren,71699
Cerro Gordo,61738
Marshall,57076
Clinton,56663
Muscatine,55705
Jasper,50302
Webster,47037
Des Moines,46386
Marion,39767
Boone,39238
Wapello,37582
Lee,37217
Bremer,35365
Benton,34342
Sioux,31231
Winneshiek,30151
Plymouth,28853
Washington,28802
Carroll,28441
Jones,28302
Buchanan,26540
Poweshiek,26233
Buena Vista,26191
Cedar,26013
Fayette,25317
Jackson,24764
Henry,23972
Dickinson,23897
Iowa,23575
Tama,23347
Mahaska,22142
Hardin,21612
Hamilton,21526
Delaware,21404
Madison,20589
Jefferson,20213
Clay,19851
Butler,19811
Floyd,19659
Crawford,19439
Clayton,18736
Page,18696
Kossuth,18025
Cass,17656
Grundy,17570
Mills,17093
Wright,16310
O'Brien,15972
Shelby,15968
Allamakee,15925
Harrison,15186
Chickasaw,15023
Union,14830
Guthrie,14655
Cherokee,14008
Appanoose,13558
Calhoun,13517
Montgomery,12531
Mitchell,12523
Franklin,12450
Winnebago,12440
Louisa,12101
Hancock,12100
Sac,11971
Greene,11880
Clarke,11234
Humboldt,10988
Emmet,10978
Howard,10887
Keokuk,10846
Palo Alto,10568
Monona,10321
Lyon,9598
Worth,9111
Lucas,9056
Adair,8421
Monroe,8171
Pocahontas,8145
Ida,7617
Audubon,7615
Davis,7572
Decatur,7455
Fremont,7142
Van Buren,6859
Taylor,6785
Ringgold,6491
Wayne,6450
Osceola,6111
Adams,4785
.,150
