County,Number of Doses
Polk,805824
Linn,370808
Johnson,269667
Scott,232576
Black Hawk,189432
Dallas,155320
Dubuque,154109
Story,152844
Woodbury,125760
Pottawattamie,120169
Warren,75489
Cerro Gordo,64631
Marshall,60780
Clinton,59437
Muscatine,58811
Jasper,52648
Webster,49105
Des Moines,48634
Marion,41797
Boone,41151
Wapello,39342
Lee,39139
Bremer,36987
Benton,36240
Sioux,33026
Winneshiek,31739
Plymouth,30493
Washington,30087
Carroll,29876
Jones,29680
Buena Vista,27933
Buchanan,27747
Poweshiek,27450
Cedar,27305
Fayette,26498
Jackson,25964
Henry,25035
Dickinson,24891
Iowa,24785
Tama,24669
Mahaska,23443
Hamilton,22741
Hardin,22575
Delaware,22384
Madison,21690
Jefferson,21107
Clay,20907
Butler,20703
Floyd,20536
Crawford,20456
Clayton,19693
Page,19622
Kossuth,18895
Cass,18498
Grundy,18355
Mills,17972
Wright,17053
Allamakee,16642
Shelby,16635
O'Brien,16561
Harrison,16000
Chickasaw,15739
Union,15548
Guthrie,15298
Cherokee,14607
Appanoose,14169
Calhoun,14067
Montgomery,13184
Franklin,13045
Mitchell,13003
Winnebago,12917
Louisa,12895
Hancock,12629
Sac,12504
Greene,12362
Clarke,11844
Emmet,11495
Howard,11443
Humboldt,11432
Keokuk,11315
Palo Alto,10984
Monona,10800
Lyon,10085
Worth,9513
Lucas,9442
Adair,8755
Monroe,8511
Pocahontas,8451
Ida,8027
Audubon,7932
Davis,7929
Decatur,7811
Fremont,7474
Taylor,7100
Van Buren,7085
Ringgold,6736
Wayne,6706
Osceola,6398
Adams,5021
.,163
