County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,31632,223796,11229,490171
Linn,10182,111632,8142,240326
Scott,8574,72203,5780,159981
Johnson,8115,83217,3948,178140
Black Hawk,5812,61459,5847,134810
Story,5637,45067,2578,97538
Pottawattamie,4972,40235,4761,91130
Woodbury,4416,39218,4634,87073
Dallas,4202,39964,2252,84955
Dubuque,4140,56005,1996,117951
Cerro Gordo,2231,22981,1702,49962
Des Moines,2137,16288,676,35425
Clinton,1789,14755,1432,32808
Warren,1699,15628,900,33687
Webster,1529,15741,1184,34469
Marshall,1513,12182,2648,28450
Muscatine,1345,12548,4757,31331
Bremer,1112,11284,1163,24832
Lee,1053,10976,1772,25017
Wapello,1038,11075,669,23974
Jasper,1037,12855,1060,27612
Boone,961,10328,522,22091
Marion,907,11156,3982,27352
Winneshiek,840,7317,957,16415
Tama,768,7744,967,17253
Jefferson,767,6732,921,15149
Carroll,753,8909,1059,19800
Buena Vista,702,6307,3290,16698
Page,677,6308,753,14077
Washington,661,6641,503,14453
Clay,621,7668,229,16130
Poweshiek,616,8562,400,18042
Mills,606,5024,142,10813
Sioux,604,9383,2599,21983
Emmet,593,4417,358,9901
Fayette,569,9555,883,20582
Cass,543,9711,405,20587
Dickinson,531,7122,218,15000
Plymouth,524,6569,2878,16576
Mahaska,523,6934,482,14920
Henry,494,6839,1806,16029
Kossuth,481,5494,466,11976
Jackson,433,7574,243,15810
Union,430,4480,269,9568
Jones,422,5723,828,12750
Wright,413,4477,1667,11014
Benton,412,7124,442,15116
Crawford,403,5628,1570,13255
Buchanan,360,5822,300,12303
O'Brien,357,4925,318,10534
Hardin,353,5785,1294,13270
Grundy,346,4331,367,9386
Allamakee,339,5371,106,11193
Clarke,336,3892,1351,9481
Madison,332,6593,147,13727
Floyd,325,5977,989,13288
Greene,312,4134,482,9137
Hamilton,311,6556,399,13976
Cedar,302,5924,267,12384
Appanoose,300,3985,461,8824
Iowa,295,5414,587,11733
Delaware,288,4308,732,9597
Montgomery,287,3007,564,6891
Winnebago,280,3665,483,8113
Shelby,280,5453,110,11343
Harrison,270,3215,234,6945
Humboldt,258,3745,371,8263
Guthrie,255,4138,235,8784
Out of State,247,5211,1,10368
Cherokee,227,4430,242,9338
Adair,212,2062,326,4601
Clayton,210,5848,644,12596
Monroe,205,2995,273,6498
Franklin,195,3290,230,7018
Wayne,195,2815,370,6297
Lucas,192,3208,376,7076
Davis,182,3097,1650,8053
Mitchell,181,4197,134,8726
Palo Alto,178,3161,140,6670
Howard,172,1999,164,4319
Decatur,167,2747,118,5871
Louisa,158,3099,1517,7851
Monona,139,2011,182,4327
Chickasaw,126,2689,326,5823
Hancock,126,2885,706,6602
Ida,113,1524,480,3638
Sac,107,3187,45,6544
Lyon,104,2904,70,5992
Adams,103,1600,6,3493
Ringgold,103,1989,4,4138
Butler,96,3769,160,7810
Taylor,93,2142,17,4418
Calhoun,93,4053,169,8398
Audubon,80,1927,101,4033
Pocahontas,80,1816,144,3860
Worth,77,1660,1,3395
Fremont,77,1562,95,3297
Van Buren,72,1391,101,2957
Osceola,53,1440,158,3091
Keokuk,53,1546,100,3243
