ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,25757,24833,924
19013,45813,41313,4500
19083,4972,3829,1143
19099,8336,7841,495
19147,2494,2412,82
19067,4651,3938,713
19109,4423,4047,376
19063,3332,3035,297
19153,128157,121441,6716
19127,9444,6935,2509
19081,2593,2041,552
19139,11689,7591,4098
19193,29033,26285,2748
19103,56835,54078,2757
19091,2320,2005,315
19101,5554,4800,754
19167,9009,6664,2345
19149,7364,4586,2778
19047,5351,3893,1458
19049,20353,18886,1467
19179,7896,7460,436
19163,50266,46341,3925
19171,5507,4567,940
19143,1159,1039,120
19055,3690,3091,599
19017,9171,8219,952
19065,8000,7191,809
19187,10554,9725,829
19021,7368,4208,3160
19035,3342,3172,170
19043,5119,4549,570
19033,17448,16314,1134
19077,2796,2620,176
19057,12382,11846,536
19039,4239,2990,1249
19165,3663,3625,38
19155,31544,27251,4293
19125,10922,7245,3677
19009,1549,1453,96
19113,72229,65523,6706
19141,3968,3743,225
19059,4840,4725,115
19197,4855,3375,1480
19131,3351,3351,0
19119,2118,2093,25
19023,3011,2946,65
19015,7079,6800,279
19029,7782,7554,228
19189,2714,2327,387
19145,4627,4001,626
19069,2626,2451,175
19151,1352,1222,130
19061,37882,36801,1081
19037,2251,1953,298
19027,5957,5189,768
19137,2445,1946,499
19181,9858,9384,474
19105,3815,3210,605
19097,5330,5208,122
19085,2337,2150,187
19173,1773,1773,0
19121,4158,4080,78
19133,1478,1373,105
19019,4243,4053,190
19111,8665,7513,1152
19157,4909,4771,138
19087,4932,4378,554
,4255,4255,0
19075,3282,3082,200
19025,3049,2949,100
19123,4650,4401,249
19095,3657,3190,467
19041,6146,6096,50
19045,10442,9399,1043
19183,4310,3930,380
19001,1748,1494,254
19195,1200,1200,0
19031,4428,4227,201
19011,5063,4707,356
19117,2355,2049,306
19135,2285,2086,199
19185,2229,1897,332
19079,4595,4270,325
19007,3388,3014,374
19177,1063,994,69
19161,2419,2419,0
19159,1487,1487,0
19051,3743,2165,1578
19089,1371,1284,87
19093,1544,1183,361
19129,3334,3249,85
19115,3801,2308,1493
19107,1177,1077,100
19191,5371,4857,514
19003,1251,1251,0
19073,2416,2081,335
19071,1217,1145,72
19005,4304,4259,45
19175,2954,2840,114
19053,2122,2017,105
